id_fichero,id_frase,tipo,text
10561201,T1,MajorClaim,"A combination of mitoxantrone plus prednisone is preferable to prednisone alone for reduction of pain in men with metastatic, hormone-resistant, prostate cancer.",
10561201,T2,Premise,"At 6 weeks, both groups showed improvement in several HQL domains,",
10561201,T3,Premise,"only physical functioning and pain were better in the mitoxantrone-plus-prednisone group than in the prednisone-alone group.",
10561201,T4,Premise,"After 6 weeks, patients taking prednisone showed no improvement in HQL scores, whereas those taking mitoxantrone plus prednisone showed significant improvements in global quality of life (P =.009), four functioning domains, and nine symptoms (.001 < P <. 01),",
10561201,T6,Premise,"the improvement (> 10 units on a scale of 0 to100) lasted longer than in the prednisone-alone group (.004 < P <.05).",
10561201,T7,Premise,"The addition of mitoxantrone to prednisone after failure of prednisone alone was associated with improvements in pain, pain impact, pain relief, insomnia, and global quality of life (.001 < P <.003).",
10561201,T8,Claim,"Treatment with mitoxantrone plus prednisone was associated with greater and longer-lasting improvement in several HQL domains and symptoms than treatment with prednisone alone.",
10561203,T1,Claim,"In endocrine therapy trials in advanced breast cancer, patients with response (complete response/partial response [CR/PR]) and patients with stable disease for at least 6 months (SD(6m)) have shown similar survival and therefore are often defined as a population with clinical benefit (patients with CR/PR or SD(6m)).",
10561203,T3,Premise,"responders indicated better physical well-being (P =. 004) and mood (P =.02) at month 3.",
10561203,T4,Premise,"Compared only with patients with SD(6m), responders showed no significant difference in baseline QL and time to treatment failure (328.5 v 340 days).",
10561203,T5,Premise,"While under treatment, responders reported significantly better physical well-being (months 3 to 11), mood (months 5 to 11), coping (months 5 to 9), and appetite (months 7 to 11) and less dizziness (month 9) than patients with SD(6m).",
10561203,T6,Premise,"The changes between baseline and months 5 and 7, respectively, indicated improvement in responders but heterogeneous patterns in patients with SD(6m).",
10561203,T7,Premise,"Although the CR/PR and SD(6m) groups had similar times to treatment failure,",
10561203,T8,Claim,"patients with CR/PR reported better QL, suggesting more beneficial response to second-line endocrine treatment.",
10653877,T1,Claim,"Treatment with cisplatin-based chemotherapy provides a modest survival advantage over supportive care alone in advanced non-small-cell lung cancer (NSCLC).",
10653877,T2,Premise,"Superior survival was observed with the combined paclitaxel regimens (median survival time, 9.9 months; 1-year survival rate, 38.9%) compared with etoposide plus cisplatin (median survival time, 7.6 months; 1-year survival rate, 31.8%; P =. 048).",
10653877,T3,Premise,"Comparing survival for the two dose levels of paclitaxel revealed no significant difference.",
10653877,T4,Premise,"The median survival duration for the stage IIIB subgroup was 7.9 months for etoposide plus cisplatin patients versus 13.1 months for all paclitaxel patients (P =.152).",
10653877,T5,Premise,"For the stage IV subgroup, the median survival time for etoposide plus cisplatin was 7.6 months compared with 8.9 months for paclitaxel (P =.246).",
10653877,T6,Premise,"With the exceptions of increased granulocytopenia on the low-dose paclitaxel regimen and increased myalgias, neurotoxicity, and, possibly, increased treatment-related cardiac events with high-dose paclitaxel, toxicity was similar across all three arms.",
10653877,T7,Premise,"Quality of life (QOL) declined significantly over the 6 months.",
10653877,T8,Claim,"QOL scores were not significantly different among the regimens.",
10653877,T9,Claim,"paclitaxel (135 mg/m(2)) combined with cisplatin has replaced etoposide plus cisplatin as the reference regimen in our recently completed phase III trial.",
10675381,T1,MajorClaim,"In nonrandomized studies involving patients with different tumor types including non-small-cell lung cancer (NSCLC), ATP infusion appeared to inhibit loss of weight and deterioration of quality of life (QOL) and performance status.",
10675381,T2,Premise,"Mean weight changes per 4-week period were -1.0 kg (95% confidence interval [CI] = -1.5 to -0.5) in the control group and 0.2 kg (95% CI = -0.2 to +0.6) in the ATP group (P =.002).",
10675381,T3,Premise,"Serum albumin concentration declined by -1.2 g/L (95% CI= -2.0 to -0.4) per 4 weeks in the control group but remained stable (0.0 g/L; 95% CI = -0.3 to +0.3) in the ATP group (P =.006).",
10675381,T4,Premise,"Elbow flexor muscle strength declined by -5.5% (95% CI = -9.6% to -1. 4%) per 4 weeks in the control group but remained stable (0.0%; 95% CI= -1.4% to +1.4%) in the ATP group (P =.01).",
10675381,T5,Premise,"A similar pattern was observed for knee extensor muscles (P =.02).",
10675381,T6,Premise,"The effects of ATP on body weight, muscle strength, and albumin concentration were especially marked in cachectic patients (P =.0002, P =.0001, and P =. 0001, respectively, for ATP versus no ATP).",
10675381,T7,Premise,"QOL score changes per 4-week period in the ATP group showed overall less deterioration than in the control group-physical scores (-0.2% versus -2.4%; P =. 0002); functional scores (+0.4% versus -5.5%; P =.02); psychologic scores (-0.7% versus -2.4%; P =.11); overall QOL score (+0.1% versus -3.5%; P =.0001).",
10675381,T8,Claim,"ATP has beneficial effects on weight, muscle strength, and QOL in patients with advanced NSCLC.",
10735887,T1,Premise,"Overall objective response (OR) rates were higher in patients treated with EXE than in those treated with MA (15.0% v 12.4%);",
10735887,T2,Premise,"a similar trend was noted in patients with visceral metastases (13.5% v 10.5%).",
10735887,T3,Premise,"Median survival time was significantly longer with EXE (median not reached) than with MA (123.4 weeks; P =.039), as were the median duration of overall success (OR or stable disease > or = 24 weeks; 60.1 v 49.1 weeks; P =.025), time to tumor progression (20.3 v 16.6 weeks; P =.037), and time to treatment failure (16.3 v 15.7 weeks; P =.042).",
10735887,T4,Premise,"Compared with MA, there were similar or greater improvements in pain, TRSS, and QOL with EXE.",
10735887,T5,Claim,"Both drugs were well tolerated.",
10735887,T6,Premise,"Grade 3 or 4 weight changes were more common with MA (17.1% v 7.6%; P =.001).",
10735887,T7,Claim,"EXE prolongs survival time, time to tumor progression, and time to treatment failure compared with MA and offers a well-tolerated treatment option for postmenopausal women with progressive advanced breast cancer who experienced failure of tamoxifen.",
10856098,T1,Premise,"The response rates, QOL, and median RD, TTP, and TTF were not significantly different between the arms.",
10856098,T2,Premise,"Median OS was 13.8 months for arm 1 versus 14.4 months for arm 2 (P =.4).",
10856098,T3,Premise,"Grade 3 or 4 granulocytopenia was equivalent in both arms but more grade 3/4 neurotoxicity, mild venous toxicity, and FN were seen on arm 1.",
10856098,T4,Claim,"The survival with DOX and VNB is not superior to DOX alone in MBC.",
10880548,T1,MajorClaim,"Menopausal symptoms (e.g., hot flashes, vaginal dryness, and stress urinary incontinence) are very common in breast cancer survivors and cannot be managed with standard estrogen replacement therapy (ERT) in these patients.",
10880548,T2,Premise,"Patients receiving the intervention demonstrated statistically significant improvement (P =.0004) in menopausal symptoms but no significant change in vitality (P =.77).",
10880548,T3,Premise,"Sexual functioning was statistically significantly improved (P =.04) in the treatment group compared with the usual-care group.",
10880548,T4,Claim,"A clinical assessment and intervention program for menopausal symptom management in breast cancer survivors is feasible and acceptable to patients, leading to reduction in symptoms and improvement in sexual functioning.",
10880548,T5,Claim,"Measurable improvement in a general QOL measure was not demonstrated.",
10880550,T1,Claim,"In phase II trials, paclitaxel has been shown to have antitumor activity in patients with advanced non-small-cell lung cancer (NSCLC).",
10880550,T3,Premise,"Survival was statistically significantly better in the paclitaxel plus supportive care arm than in the supportive care alone arm (two-sided P =.037) (median survival = 6.8 months versus 4.8 months).",
10880550,T4,Premise,"Cox multivariate analysis showed paclitaxel plus supportive care to be statistically significantly associated with improved survival (two-sided P =.048).",
10880550,T5,Premise,"QOL was similar for both treatment arms,",
10880550,T6,Premise,"except for the functional activity score of the Rotterdam Symptom Checklist, where QOL data statistically significantly favored the paclitaxel plus supportive care arm (two-sided P =.043).",
10880550,T7,Claim,"The addition of paclitaxel to best supportive care significantly improved survival and time to disease progression compared with best supportive care in patients with advanced NSCLC and may improve some aspects of QOL.",
10930797,T1,Premise,"The final multivariate model predicted poor survival with multiple sites of visceral disease (P=0.003), DFI </=2 years (P=0.026) and pain (P=0.003).",
10930797,T2,Premise,"For survival, multiple sites of visceral disease, pain, global QL and fatigue were significant prognostic factors in the univariate analysis.",
10930797,T3,Premise,"For response, age, dyspnoea, fatigue and global QL were significant predictive factors in the univariate analysis.",
10930797,T4,Premise,"The final multivariate model for response selected DFI (P=0.009), multiple sites of visceral disease (P=0.037) and dyspnoea (P=<0.001) using forward selection,",
10930797,T5,Premise,"but model instability was indicated by the inclusion of fatigue and emotional function in the final model when backward selection was used.",
10930797,T6,Claim,"patient-assessed QL variables appear to be prognostic for survival and response to chemotherapy in women with advanced breast cancer.",
10930797,T7,Claim,"However, identification of prognostic factors from responses to questionnaires may be unstable, and their reliability and clinical utility should be tested prospectively.",
10944126,T1,Premise,"Patients allocated to oxaliplatin plus LV5FU2 had significantly longer progression-free survival (median, 9.0 v 6.2 months; P =.0003) and better response rate (50.7% v 22.3%; P =.0001) when compared with the control arm.",
10944126,T2,Premise,"The improvement in overall survival did not reach significance (median, 16.2 v 14.7 months; P =. 12).",
10944126,T3,Premise,"LV5FU2 plus oxaliplatin gave higher frequencies of National Cancer Institute common toxicity criteria grade 3/4 neutropenia (41. 7% v 5.3% of patients), grade 3/4 diarrhea (11.9% v 5.3%), and grade 3 neurosensory toxicity (18.2% v 0%), but this did not result in impairment of quality of life (QoL).",
10944126,T4,Premise,"Survival without disease progression or deterioration in global health status was longer in patients allocated to oxaliplatin treatment (P =.004).",
10944126,T5,Claim,"The LV5FU2-oxaliplatin combination seems beneficial as first-line therapy in advanced colorectal cancer, demonstrating a prolonged progression-free survival with acceptable tolerability and maintenance of QoL.",
10944130,T1,Premise,"Complete or partial responses were achieved by 12% of patients treated with IFNalpha2a plus 13-CRA and 6% of patients treated with IFNalpha2a (P =.14).",
10944130,T2,Premise,"Median duration of response (complete and partial combined) in the group treated with the combination was 33 months (range, 9 to 50 months), versus 22 months (range, 5 to 38 months) for the second group (P =.03).",
10944130,T3,Premise,"Nineteen percent of patients treated with IFNalpha2a plus 13-CRA were progression-free at 24 months, compared with 10% of patients treated with IFNalpha2a alone (P =.05).",
10944130,T4,Premise,"Median survival time for all patients was 15 months, with no difference in survival between the two treatment arms (P =.26).",
10944130,T5,Premise,"QOL decreased during the first 8 weeks of treatment, and a partial recovery followed.",
10944130,T6,Premise,"Lower scores were associated with the combination therapy.",
10944130,T7,Claim,"Response proportion and survival did not improve significantly with the addition of 13-CRA to IFNalpha2a therapy in patients with advanced RCC.",
10944130,T8,Claim,"13-CRA may lengthen response to IFNalpha2a therapy in patients with IFNalpha2a-sensitive tumors.",
10944130,T9,Claim,"Treatment, particularly the combination therapy, was associated with a decrease in QOL.",
11034245,T1,MajorClaim,"Intravenous 5-fluorouracil (5-FU) and leucovorin has been a mainstay of chemotherapy,",
11034245,T2,MajorClaim,"oral 5-FU derivatives have been shown a comparable antitumor activity.",
11034245,T3,Claim,"Postoperative adjuvant chemoradiation treatment after curative resection for rectal cancer was needed to reduce recurrence and improve a survival rate.",
11034245,T4,Premise,"Mean numbers of chemotherapy cycles were 6.5+/-3.7 (IV arm) vs. 7.2+/-4.3 (oral arm), respectively.",
11034245,T5,Premise,"The rate of recurrence was 9/74 (12.1%) in the IV arm and 6/92 (6.5 %) in the oral arm, respectively (P = .937).",
11034245,T6,Premise,"Local recurrence was 2/74 (stage III; 2.7%) in the IV arm and 1/92 (stage II; 1.1%) in the oral arm, respectively.",
