id_fichero,id_frase,tipo,text
10735891,T1,Claim,"Suramin is a novel agent that has demonstrated preliminary evidence of antitumor activity in hormone-refractory prostate cancer (HRPC).",
10735891,T2,Premise,"Overall mean reductions in combined pain and opioid analgesic intake were greater for suramin plus HC (rank sum P =.0001).",
10735891,T3,Premise,"Pain response was achieved in a higher proportion of patients receiving suramin than placebo (43% v 28%; P =.001),",
10735891,T4,Premise,"duration of response was longer for suramin responders (median, 240 v 69 days; P =.0027).",
10735891,T5,Premise,"Time to disease progression was longer (relative risk = 1.5; 95% confidence interval, 1.2 to 1.9)",
10735891,T6,Premise,"the proportion of patients with a greater than 50% decline in PSA was higher (33% v 16%; P =.01) in patients who received suramin.",
10735891,T7,Premise,"Neither quality of life nor performance status was decreased by suramin treatment,",
10735891,T8,Premise,"overall survival was similar.",
10735891,T9,Premise,"Most adverse events were of mild or moderate intensity and were easily managed medically.",
10735891,T10,Claim,"Outpatient treatment with suramin plus HC is well tolerated and provides moderate palliative benefit and delay in disease progression for patients with symptomatic HRPC.",
10811675,T1,Premise,"Time to progression was longer for docetaxel patients than for best supportive care patients (10.6 v 6.7 weeks, respectively; P <.001), as was median survival (7.0 v 4.6 months; log-rank test, P =.047).",
10811675,T2,Premise,"The difference was more significant for docetaxel 75 mg/m(2) patients, compared with corresponding best supportive care patients (7.5 v 4.6 months; log-rank test, P =.010; 1-year survival, 37% v 11%; chi(2) test, P =.003).",
10811675,T3,Premise,"Febrile neutropenia occurred in 11 patients treated with docetaxel 100 mg/m(2), three of whom died, and in one patient treated with docetaxel 75 mg/m(2).",
10811675,T4,Premise,"Grade 3 or 4 nonhematologic toxicity, with the exception of diarrhea, occurred at a similar rate in both the docetaxel and best supportive care groups.",
10811675,T5,Claim,"Treatment with docetaxel is associated with significant prolongation of survival,",
10811675,T6,Claim,"at a dose of 75 mg/m(2), the benefits of docetaxel therapy outweigh the risks.",
11766999,T1,Claim,"In the context of chronic physical illness, such as breast cancer, depression is associated with increased morbidity, longer periods of hospitalization, and greater overall disability.",
11766999,T3,Premise,"After 8-weeks treatment, depressive symptomatology had improved markedly and to a similar extent in both groups on the Montgomery Asberg Depression Rating Scale.",
11766999,T4,Premise,"Clinical global impression (CGI) Global improvement and Patient global evaluation scales indicated that patients were minimally to much improved at study endpoint: a change from moderately/mildly ill to borderline ill on the CGI severity of Illness scale.",
11766999,T5,Claim,"A steady improvement in quality of life was also observed in both groups.",
11766999,T6,Premise,"There were no clinically significant differences between the groups.",
11766999,T7,Premise,"In total, 47 (53.4%) patients in the paroxetine group and 53 (59.6%) patients in the amitriptyline group had adverse experiences, the most common of which were the well-recognized side-effects of the antidepressant medications or chemotherapy.",
11766999,T8,Premise,"Anticholinergic effects were almost twice as frequent in the amitriptyline group (19.1%) compared with paroxetine (11.4%).",
11766999,T9,Claim,"paroxetine is a suitable alternative to amitriptyline for the treatment of depression in patients with breast cancer.",
11766999,T2,Claim,"Prompt diagnosis and effective treatment is, therefore, essential.",
11786563,T1,Claim,"In a randomized clinical trial in patients with advanced non-small-cell lung cancer (NSCLC), infusion with adenosine 5'-triphosphate (ATP) inhibited loss of body weight and quality of life.",
11786563,T2,Premise,"No change in body composition over the 28-week follow-up period was found in the ATP group, whereas, per 4 weeks, the control group lost 0.6 kg of FM (P =.004), 0.5 kg of FFM (P =.02), 1.8% of arm muscle area (P =.02), and 0.6% of BCM/kg body weight (P =.054) and decreased 568 KJ/d in energy intake (P =.0001).",
11786563,T3,Premise,"Appetite also remained stable in the ATP group but decreased significantly in the control group (P =.0004).",
11786563,T4,Premise,"No significant differences in REE between the ATP and control groups were observed.",
11786563,T5,Claim,"The inhibition of weight loss by ATP infusions in patients with advanced NSCLC is attributed to counteracting the loss of both metabolically active and inactive tissues.",
11786563,T6,Premise,"These effects are partly ascribed to maintenance of energy intake.",
11788911,T1,Premise,"At a median follow-up time of 13.5 months (range 1-28+) at June 2001, among 26 patients enrolled 12 (46.1%) were still alive and 9 (75%) of them were progression-free.",
11788911,T2,Premise,"The median duration of response was 9 months (range 0-25+), the median progression-free survival was 10.5 months (range 0-28+), the median overall survival time was 9 months (range 1-22).",
11788911,T3,Premise,"The toxicity was significant and consisted mainly of mucositis and, to a lesser extent, neutropenia/thrombocytopenia.",
11788911,T4,Claim,"the low serum levels of leptin and the high serum levels of proinflammatory cytokines in advanced stage cancer patients were confirmed.",
11788911,T5,Claim,"this sequential induction chemotherapy and chemoradiotherapy program has been found moderately active and significantly toxic;",
11788911,T6,MajorClaim,"this regimen could not be recommended for a phase III randomized study.",
11790211,T1,Claim,"Laparoscopic-assisted colectomy (LAC) has emerged as the preferred minimally invasive surgical strategy for diseases of the colon.",
11790211,T2,MajorClaim,"The safety and efficacy of LAC for colon cancer are unknown,",
11790211,T3,MajorClaim,"the nature and magnitude of any quality-of-life (QOL) benefit resulting from LAC for colon cancer is also unknown.",
11790211,T4,Premise,"In an intention-to-treat analysis comparing SDS pain intensity, SDS summary, QOL Index summary, and global rating scale scores at each time point, the only statistically significant difference observed between groups was the global rating scale score for 2 weeks postsurgery.",
11790211,T5,Premise,"The mean (median) global rating scale scores for 2 weeks postsurgery were 76.9 (80) for LAC vs 74.4 (75) for open colectomy (P =.009).",
11790211,T6,Premise,"While in the hospital, patients assigned to LAC required fewer days of both parenteral analgesics compared with patients assigned to open colectomy (mean [median], 3.2 [3] vs 4.0 [4] days; P<.001) and oral analgesics (mean [median], 1.9 [1] vs 2.2 [2] days; P =.03).",
11790211,T7,Claim,"Only minimal short-term QOL benefits were found with LAC for colon cancer compared with standard open colectomy.",
11790211,T8,Claim,"Until ongoing trials establish that LAC is as effective as open colectomy in preventing recurrence and death from colon cancer, this procedure should not be offered to patients with colon cancer.",
11821453,T1,Premise,"The objective response rate was 26% (95% confidence interval [CI], 18.2% to 34.4%), with seven complete and 23 partial responses.",
11821453,T2,Premise,"Response rates in 111 assessable patients with 3+ and 2+ HER2 overexpression by immunohistochemistry (IHC) were 35% (95% CI, 24.4% to 44.7%) and none (95% CI, 0% to 15.5%), respectively.",
11821453,T3,Premise,"The clinical benefit rates in assessable patients with 3+ and 2+ HER2 overexpression were 48% and 7%, respectively.",
11821453,T4,Premise,"The response rates in 108 assessable patients with and without HER2 gene amplification by fluorescence in situ hybridization (FISH) analysis were 34% (95% CI, 23.9% to 45.7%) and 7% (95% CI, 0.8% to 22.8%), respectively.",
11821453,T5,Premise,"Seventeen (57%) of 30 patients with an objective response and 22 (51%) of 43 patients with clinical benefit had not experienced disease progression at follow-up at 12 months or later.",
11821453,T6,Premise,"The most common treatment-related adverse events were chills (25% of patients), asthenia (23%), fever (22%), pain (18%), and nausea (14%).",
11821453,T7,Premise,"Cardiac dysfunction occurred in two patients (2%); both had histories of cardiac disease and did not require additional intervention after discontinuation of trastuzumab.",
11821453,T8,Claim,"There was no clear evidence of a dose-response relationship for response, survival, or adverse events.",
11821453,T9,Claim,"Single-agent trastuzumab is active and well tolerated as first-line treatment of women with metastatic breast cancer with HER2 3+ overexpression by IHC or gene amplification by FISH.",
11830607,T1,Claim,"Older patients, even if fit, are often considered incapable of tolerating platinum-based systemic therapy.",
11830607,T2,Premise,"Older patients had a higher incidence of cardiovascular (P =.009) and respiratory (P =.04) comorbidities and nonanalgesic medication use (P =.02).",
11830607,T3,Premise,"Leukopenia (P<.001) and neuropsychiatric toxicity (P =.002) were more common in elderly men than in younger men.",
11830607,T4,Premise,"Elderly women lost more weight than younger women (P =.006).",
11830607,T5,Premise,"The proportions with clinical partial or complete response (21.5% versus 23.3%; Fisher's exact test, P =.66), median time to progression (4.37 versus 4.30 months; log-rank test, P =.29), and survival distribution (log-rank test, P =.29; median survival, 9.05 versus 8.53 months; 1-year survival, 38% versus 29%; and 2-year survival, 14% versus 12%) were similar in patients younger than 70 years and 70 years old or older.",
11830607,T6,Premise,"Baseline quality-of-life and treatment-outcome indices were similar.",
11830607,T7,Premise,"Equivalent declines over time in functional well-being occurred in both groups.",
11830607,T8,Claim,"Advanced age alone should not preclude appropriate NSCLC treatment.",
11830607,T9,Claim,"Response rate, toxicity, and survival in fit, elderly NSCLC patients receiving platinum-based treatment appear to be similar to those in younger patients,",
11830607,T10,Claim,"although patients 70 years old or older have more comorbidities and can expect more leukopenia and neuropsychiatric toxicity.",
11830607,T11,Premise,"Other toxic effects were similar in older and younger patients.",
11843249,T1,Premise,"The partial and complete response rate (PR + CR) was significantly greater for patients receiving SIR-Spheres when measured by tumor areas (44%) vs. 17.6%, P = 0.01) tumor volumes (50% vs. 24%, P = 0.03) and CEA (72% vs. 47%, P = 0.004).",
11843249,T2,Premise,"The median time to disease progression in the liver was significantly longer for patients receiving SIR-Spheres in comparison to patients receiving HAC alone when measured by either tumor areas (9.7 vs. 15.9 months, P = 0.001), tumor volumes (7.6 vs. 12.0 months, P = 0.04) or CEA (5.7 vs. 6.7 months, P = 0.06).",
11843249,T3,Premise,"The one, two, three and five-year survival for patients receiving SIR-Spheres was 72%, 39%, 17% and 3.5%, compared to 68%, 29%, 6.5% and 0% for HAC alone.",
11843249,T4,Premise,"Cox regression analysis suggests an improvement in survival for patients treated with SIR-Spheres who survive more than 15 months (P = 0.06).",
