id_fichero,id_frase,tipo,text
10561201,T1,MajorClaim,"A combination of mitoxantrone plus prednisone is preferable to prednisone alone for reduction of pain in men with metastatic, hormone-resistant, prostate cancer.",
10561201,T2,Premise,"At 6 weeks, both groups showed improvement in several HQL domains,",
10561201,T3,Premise,"only physical functioning and pain were better in the mitoxantrone-plus-prednisone group than in the prednisone-alone group.",
10561201,T4,Premise,"After 6 weeks, patients taking prednisone showed no improvement in HQL scores, whereas those taking mitoxantrone plus prednisone showed significant improvements in global quality of life (P =.009), four functioning domains, and nine symptoms (.001 < P <. 01),",
10561201,T6,Premise,"the improvement (> 10 units on a scale of 0 to100) lasted longer than in the prednisone-alone group (.004 < P <.05).",
10561201,T7,Premise,"The addition of mitoxantrone to prednisone after failure of prednisone alone was associated with improvements in pain, pain impact, pain relief, insomnia, and global quality of life (.001 < P <.003).",
10561201,T8,Claim,"Treatment with mitoxantrone plus prednisone was associated with greater and longer-lasting improvement in several HQL domains and symptoms than treatment with prednisone alone.",
"10561201","Niguno","O","The purpose of this study was to assess the effects of these treatments on health-related quality of life (HQL).",
"10561201","Niguno","O","Men with metastatic prostate cancer (n = 161) were randomized to receive either daily prednisone alone or mitoxantrone (every 3 weeks) plus prednisone.",
"10561201","Niguno","O","Those who received prednisone alone could have mitoxantrone added after 6 weeks if there was no improvement in pain.",
"10561201","Niguno","O","HQL was assessed before treatment initiation and then every 3 weeks using the European Organization for Research and Treatment of Cancer Quality-of-Life Questionnaire C30 (EORTC QLQ-C30) and the Quality of Life Module-Prostate 14 (QOLM-P14), a trial-specific module developed for this study.",
"10561201","Niguno","O","An intent-to-treat analysis was used to determine the mean duration of HQL improvement and differences in improvement duration between groups of patients.",
"10561201","Niguno","O","After 6 weeks, patients taking prednisone showed no improvement in HQL scores, whereas those taking mitoxantrone plus prednisone showed significant improvements in global quality of life (P =.009), four functioning domains, and nine symptoms (.001 < P <.",
10561203,T1,Claim,"In endocrine therapy trials in advanced breast cancer, patients with response (complete response/partial response [CR/PR]) and patients with stable disease for at least 6 months (SD(6m)) have shown similar survival and therefore are often defined as a population with clinical benefit (patients with CR/PR or SD(6m)).",
10561203,T3,Premise,"responders indicated better physical well-being (P =. 004) and mood (P =.02) at month 3.",
10561203,T4,Premise,"Compared only with patients with SD(6m), responders showed no significant difference in baseline QL and time to treatment failure (328.5 v 340 days).",
10561203,T5,Premise,"While under treatment, responders reported significantly better physical well-being (months 3 to 11), mood (months 5 to 11), coping (months 5 to 9), and appetite (months 7 to 11) and less dizziness (month 9) than patients with SD(6m).",
10561203,T6,Premise,"The changes between baseline and months 5 and 7, respectively, indicated improvement in responders but heterogeneous patterns in patients with SD(6m).",
10561203,T7,Premise,"Although the CR/PR and SD(6m) groups had similar times to treatment failure,",
10561203,T8,Claim,"patients with CR/PR reported better QL, suggesting more beneficial response to second-line endocrine treatment.",
"10561203","Niguno","O","We evaluated the impact of response and/or clinical benefit on quality of life (QL) in postmenopausal patients under second-line endocrine treatment after failure of tamoxifen.",
"10561203","Niguno","O","One hundred twenty-eight of 177 eligible patients of a randomized trial (Swiss Group for Clinical Cancer Research 20/90) receiving either formestane (250 mg intramuscularly biweekly) or megestrol acetate (160 mg orally daily) were analyzed.",
"10561203","Niguno","O","The baseline characteristics (with the exception of site of metastases) were balanced among patients with CR/PR, SD(6m), and progressive disease (PD).",
"10561203","Niguno","O","Patients completed QL indicators at baseline and at 1, 3, 5, 7, 9, and 11 months.",
"10561203","Niguno","O","Responders were separately compared with nonresponders (patients with SD(6m) or PD) and with patients with SD(6m), and patients with clinical benefit were compared with patients with PD by analysis of covariance with adjustment for baseline scores.",
"10561203","Niguno","O","Overall, 88% (557 of 634) of expected QL forms were received.",
"10561203","Niguno","O","In the comparison of responders versus patients with both SD(6m) and PD, responders indicated better physical well-being (P =.",
"10561203","Niguno","O","004) and mood (P =.02) at month 3.",
"10561203","Niguno","O","Patients' subjective perspective should be taken into account in this mainly palliative setting.",
"10561203","Niguno","O","Future trials should be designed so that the CR/PR and SD(6m) groups are investigated separately.",
10653877,T1,Claim,"Treatment with cisplatin-based chemotherapy provides a modest survival advantage over supportive care alone in advanced non-small-cell lung cancer (NSCLC).",
10653877,T2,Premise,"Superior survival was observed with the combined paclitaxel regimens (median survival time, 9.9 months; 1-year survival rate, 38.9%) compared with etoposide plus cisplatin (median survival time, 7.6 months; 1-year survival rate, 31.8%; P =. 048).",
10653877,T3,Premise,"Comparing survival for the two dose levels of paclitaxel revealed no significant difference.",
10653877,T4,Premise,"The median survival duration for the stage IIIB subgroup was 7.9 months for etoposide plus cisplatin patients versus 13.1 months for all paclitaxel patients (P =.152).",
10653877,T5,Premise,"For the stage IV subgroup, the median survival time for etoposide plus cisplatin was 7.6 months compared with 8.9 months for paclitaxel (P =.246).",
10653877,T6,Premise,"With the exceptions of increased granulocytopenia on the low-dose paclitaxel regimen and increased myalgias, neurotoxicity, and, possibly, increased treatment-related cardiac events with high-dose paclitaxel, toxicity was similar across all three arms.",
10653877,T7,Premise,"Quality of life (QOL) declined significantly over the 6 months.",
10653877,T8,Claim,"QOL scores were not significantly different among the regimens.",
10653877,T9,Claim,"paclitaxel (135 mg/m(2)) combined with cisplatin has replaced etoposide plus cisplatin as the reference regimen in our recently completed phase III trial.",
"10653877","Niguno","O","To determine whether a new agent, paclitaxel, would further improve survival in NSCLC, the Eastern Cooperative Oncology Group conducted a randomized trial comparing paclitaxel plus cisplatin to a standard chemotherapy regimen consisting of cisplatin and etoposide.",
"10653877","Niguno","O","The study was carried out by a multi-institutional cooperative group in chemotherapy-naive stage IIIB to IV NSCLC patients randomized to receive paclitaxel plus cisplatin or etoposide plus cisplatin.",
"10653877","Niguno","O","Paclitaxel was administered at two different dose levels (135 mg/m(2) and 250 mg/m(2)), and etoposide was given at a dose of 100 mg/m(2) daily on days 1 to 3.",
"10653877","Niguno","O","Each regimen was repeated every 21 days and each included cisplatin (75 mg/m(2)).",
"10653877","Niguno","O","The characteristics of the 599 patients were well-balanced across the three treatment groups.",
"10653877","Niguno","O","Superior survival was observed with the combined paclitaxel regimens (median survival time, 9.9 months; 1-year survival rate, 38.9%) compared with etoposide plus cisplatin (median survival time, 7.6 months; 1-year survival rate, 31.8%; P =.",
"10653877","Niguno","O","048).",
10675381,T1,MajorClaim,"In nonrandomized studies involving patients with different tumor types including non-small-cell lung cancer (NSCLC), ATP infusion appeared to inhibit loss of weight and deterioration of quality of life (QOL) and performance status.",
10675381,T2,Premise,"Mean weight changes per 4-week period were -1.0 kg (95% confidence interval [CI] = -1.5 to -0.5) in the control group and 0.2 kg (95% CI = -0.2 to +0.6) in the ATP group (P =.002).",
10675381,T3,Premise,"Serum albumin concentration declined by -1.2 g/L (95% CI= -2.0 to -0.4) per 4 weeks in the control group but remained stable (0.0 g/L; 95% CI = -0.3 to +0.3) in the ATP group (P =.006).",
10675381,T4,Premise,"Elbow flexor muscle strength declined by -5.5% (95% CI = -9.6% to -1. 4%) per 4 weeks in the control group but remained stable (0.0%; 95% CI= -1.4% to +1.4%) in the ATP group (P =.01).",
10675381,T5,Premise,"A similar pattern was observed for knee extensor muscles (P =.02).",
10675381,T6,Premise,"The effects of ATP on body weight, muscle strength, and albumin concentration were especially marked in cachectic patients (P =.0002, P =.0001, and P =. 0001, respectively, for ATP versus no ATP).",
10675381,T7,Premise,"QOL score changes per 4-week period in the ATP group showed overall less deterioration than in the control group-physical scores (-0.2% versus -2.4%; P =. 0002); functional scores (+0.4% versus -5.5%; P =.02); psychologic scores (-0.7% versus -2.4%; P =.11); overall QOL score (+0.1% versus -3.5%; P =.0001).",
10675381,T8,Claim,"ATP has beneficial effects on weight, muscle strength, and QOL in patients with advanced NSCLC.",
"10675381","Niguno","O","Extracellular adenosine 5'-triphosphate (ATP) is involved in the regulation of a variety of biologic processes, including neurotransmission, muscle contraction, and liver glucose metabolism, via purinergic receptors.",
"10675381","Niguno","O","We conducted a randomized clinical trial to evaluate the effects of ATP in patients with advanced NSCLC (stage IIIB or IV).",
"10675381","Niguno","O","Fifty-eight patients were randomly assigned to receive either 10 intravenous 30-hour ATP infusions, with the infusions given at 2- to 4-week intervals, or no ATP.",
"10675381","Niguno","O","Outcome parameters were assessed every 4 weeks until 28 weeks.",
"10675381","Niguno","O","Between-group differences were tested for statistical significance by use of repeated-measures analysis, and reported P values are two-sided.",
"10675381","Niguno","O","Twenty-eight patients were allocated to receive ATP treatment and 30 received no ATP.",
"10675381","Niguno","O","Elbow flexor muscle strength declined by -5.5% (95% CI = -9.6% to -1.",
"10675381","Niguno","O","4%) per 4 weeks in the control group but remained stable (0.0%; 95% CI= -1.4% to +1.4%) in the ATP group (P =.01).",
"10675381","Niguno","O","The effects of ATP on body weight, muscle strength, and albumin concentration were especially marked in cachectic patients (P =.0002, P =.0001, and P =.",
"10675381","Niguno","O","0001, respectively, for ATP versus no ATP).",
"10675381","Niguno","O","QOL score changes per 4-week period in the ATP group showed overall less deterioration than in the control group-physical scores (-0.2% versus -2.4%; P =.",
"10675381","Niguno","O","0002); functional scores (+0.4% versus -5.5%; P =.02); psychologic scores (-0.7% versus -2.4%; P =.11); overall QOL score (+0.1% versus -3.5%; P =.0001).",
10735887,T1,Premise,"Overall objective response (OR) rates were higher in patients treated with EXE than in those treated with MA (15.0% v 12.4%);",
10735887,T2,Premise,"a similar trend was noted in patients with visceral metastases (13.5% v 10.5%).",
10735887,T3,Premise,"Median survival time was significantly longer with EXE (median not reached) than with MA (123.4 weeks; P =.039), as were the median duration of overall success (OR or stable disease > or = 24 weeks; 60.1 v 49.1 weeks; P =.025), time to tumor progression (20.3 v 16.6 weeks; P =.037), and time to treatment failure (16.3 v 15.7 weeks; P =.042).",
10735887,T4,Premise,"Compared with MA, there were similar or greater improvements in pain, TRSS, and QOL with EXE.",
10735887,T5,Claim,"Both drugs were well tolerated.",
10735887,T6,Premise,"Grade 3 or 4 weight changes were more common with MA (17.1% v 7.6%; P =.001).",
10735887,T7,Claim,"EXE prolongs survival time, time to tumor progression, and time to treatment failure compared with MA and offers a well-tolerated treatment option for postmenopausal women with progressive advanced breast cancer who experienced failure of tamoxifen.",
"10735887","Niguno","O","This phase III, double-blind, randomized, multicenter study evaluated the efficacy, pharmacodynamics, and safety of the oral aromatase inactivator exemestane (EXE) versus megestrol acetate (MA) in postmenopausal women with progressive advanced breast cancer who experienced failure of tamoxifen.",
"10735887","Niguno","O","A total of 769 patients were randomized to EXE 25 mg/d (n = 366) or MA (n = 403) 40 mg four times daily.",
"10735887","Niguno","O","Tumor response, duration of tumor control, tumor-related signs and symptoms (TRSS), quality of life (QOL), survival, and tolerability were evaluated.",
10856098,T1,Premise,"The response rates, QOL, and median RD, TTP, and TTF were not significantly different between the arms.",
10856098,T2,Premise,"Median OS was 13.8 months for arm 1 versus 14.4 months for arm 2 (P =.4).",
10856098,T3,Premise,"Grade 3 or 4 granulocytopenia was equivalent in both arms but more grade 3/4 neurotoxicity, mild venous toxicity, and FN were seen on arm 1.",
