id_fichero,tipo,text1,text2
10561201,Support,T8,T1,
10561201,Support,T2,T8,
10561201,Support,T3,T8,
10561201,Support,T6,T8,
10561201,Support,T4,T8,
10561201,Support,T7,T1,
10561203,Partial-Attack,T7,T8,
10561203,Support,T3,T8,
10561203,Support,T4,T8,
10561203,Support,T5,T8,
10561203,Partial-Attack,T6,T8,
10653877,Support,T8,T9,
10653877,Support,T6,T9,
10653877,Support,T2,T9,
10653877,Support,T4,T9,
10653877,Support,T5,T9,
10675381,Support,T2,T8,
10675381,Support,T4,T8,
10675381,Support,T5,T8,
10675381,Support,T6,T8,
10675381,Support,T7,T8,
10735887,Support,T1,T7,
10735887,Support,T3,T7,
10735887,Support,T4,T7,
10735887,Support,T5,T7,
10856098,Support,T1,T4,
10856098,Support,T2,T4,
10880548,Support,T2,T4,
10880548,Support,T3,T4,
10880548,Partial-Attack,T5,T4,
10880550,Support,T3,T7,
10880550,Support,T4,T7,
10880550,Partial-Attack,T6,T5,
10880550,Support,T5,T7,
10930797,Support,T3,T6,
10930797,Support,T2,T6,
10930797,Partial-Attack,T7,T6,
10930797,Partial-Attack,T5,T4,
10930797,Support,T4,T6,
10944126,Support,T1,T5,
10944126,Support,T3,T5,
10944126,Support,T4,T5,
10944130,Support,T1,T7,
10944130,Support,T2,T8,
10944130,Support,T4,T7,
10944130,Support,T5,T9,
11034245,Support,T4,T13,
11034245,Support,T5,T13,
11034245,Support,T6,T13,
11034245,Support,T7,T13,
11034245,Support,T9,T14,
11034245,Support,T10,T14,
11034245,Support,T12,T13,
11034245,Support,T11,T13,
11034245,Support,T13,T14,
11106123,Support,T1,T8,
11106123,Support,T2,T8,
11106123,Support,T3,T8,
11106123,Support,T5,T8,
11142481,Support,T1,T8,
11142481,Support,T4,T9,
11142481,Support,T5,T9,
11142481,Support,T3,T6,
11181777,Support,T2,T9,
11181777,Support,T3,T9,
11250991,Support,T1,T9,
11250991,Support,T2,T3,
11250991,Support,T3,T9,
11250991,Support,T4,T5,
11250991,Support,T5,T10,
11250991,Support,T3,T9,
11250991,Support,T7,T9,
11250991,Support,T8,T10,
11304763,Support,T10,T11,
11304763,Support,T1,T11,
11304763,Support,T3,T10,
11304763,Support,T4,T10,
11304763,Support,T5,T10,
11304763,Support,T9,T10,
12122096,Support,T3,T5,
12122096,Support,T4,T6,
12131085,Support,T4,T6,
12131085,Support,T3,T1,
12131085,Support,T9,T6,
12181240,Support,T2,T1,
12181240,Support,T4,T7,
12181240,Support,T5,T7,
12181240,Support,T6,T7,
12195763,Support,T6,T9,
12195763,Support,T3,T9,
12195763,Support,T4,T9,
12195763,Support,T5,T10,
12195763,Support,T7,T10,
12202326,Support,T4,T6,
12202326,Support,T5,T6,
12202326,Support,T3,T6,
12202326,Support,T1,T6,
12243809,Partial-Attack,T18,T20,
12243809,Support,T11,T20,
12243809,Support,T14,T20,
12243809,Support,T17,T21,
12243809,Support,T13,T20,
12243809,Support,T15,T20,
12351592,Support,T5,T6,
12351592,Support,T3,T5,
12351592,Support,T4,T5,
12359855,Support,T3,T10,
12359855,Support,T4,T10,
12395333,Support,T8,T9,
12395333,Support,T6,T9,
12395333,Support,T5,T9,
12395333,Support,T7,T10,
12431965,Support,T3,T8,
12431965,Support,T5,T8,
12431965,Support,T7,T8,
12431971,Support,T6,T8,
12453852,Attack,T6,T5,
12453852,Support,T2,T7,
12453852,Support,T3,T7,
12453852,Support,T4,T8,
12467070,Support,T2,T5,
12488409,Support,T6,T8,
12488409,Support,T2,T8,
12488409,Support,T3,T8,
12488409,Support,T4,T8,
12525531,Support,T2,T3,
12560436,Support,T2,T8,
12560436,Support,T1,T8,
12560436,Partial-Attack,T5,T4,
12569144,Support,T9,T10,
12569144,Attack,T7,T6,
12569144,Support,T6,T9,
12569144,Support,T4,T9,
12569144,Support,T5,T9,
12569144,Support,T8,T9,
12610178,Support,T5,T7,
12610178,Support,T4,T7,
12610178,Support,T3,T8,
12610178,Support,T2,T7,
12610183,Support,T4,T5,
12610183,Support,T1,T5,
12610188,Support,T6,T7,
12610188,Support,T2,T5,
12610188,Support,T4,T5,
12618501,Partial-Attack,T5,T6,
12618501,Support,T4,T7,
12618501,Support,T3,T7,
12618501,Support,T6,T7,
12637459,Partial-Attack,T9,T8,
12637459,Support,T4,T9,
12637459,Support,T3,T8,
12637459,Support,T1,T8,
12637459,Support,T2,T8,
12637459,Partial-Attack,T6,T5,
12637459,Support,T5,T10,
12637459,Support,T8,T10,
12953086,Support,T7,T8,
12953086,Partial-Attack,T6,T5,
12953086,Support,T5,T8,
12953086,Support,T3,T8,
12953086,Support,T4,T8,
12953086,Support,T2,T8,
12963704,Support,T1,T7,
12963704,Support,T2,T8,
12963704,Support,T4,T6,
12963704,Support,T5,T6,
14550448,Support,T6,T8,
14550448,Support,T5,T8,
14550448,Support,T1,T8,
14550448,Support,T2,T8,
14550448,Support,T3,T8,
14550448,Support,T4,T7,
14594437,Support,T5,T6,
14594437,Support,T3,T5,
14698542,Support,T11,T13,
14698542,Support,T4,T14,
14698542,Support,T5,T14,
14698542,Support,T6,T14,
14698542,Partial-Attack,T16,T15,
14698542,Support,T7,T16,
14698542,Support,T9,T16,
14698542,Support,T14,T17,
14698542,Support,T13,T17,
14722035,Support,T6,T7,
14722035,Support,T3,T6,
14722035,Support,T2,T6,
14722035,Support,T5,T7,
14990635,Support,T2,T4,
14990635,Support,T3,T4,
14996859,Support,T3,T7,
14996859,Support,T5,T7,
14996859,Support,T4,T7,
15120769,Support,T3,T7,
15120769,Support,T6,T7,
15120769,Support,T4,T7,
15120769,Support,T5,T7,
15297582,Support,T5,T6,
15297582,Support,T4,T6,
15297582,Support,T2,T6,
15338385,Partial-Attack,T6,T5,
15338385,Partial-Attack,T8,T7,
15338385,Support,T3,T7,
15338385,Support,T5,T8,
15378098,Partial-Attack,T2,T1,
15378098,Support,T1,T5,
15378098,Support,T3,T5,
15378098,Support,T4,T5,
15452187,Support,T7,T8,
15452187,Support,T1,T7,
15452187,Support,T2,T7,
15452187,Support,T3,T7,
15452187,Support,T4,T8,
15452187,Support,T5,T8,
15452187,Support,T6,T8,
15452188,Support,T3,T7,
15452188,Support,T4,T7,
15452188,Support,T5,T7,
15452188,Partial-Attack,T8,T7,
15452188,Support,T6,T7,
15454357,Support,T4,T5,
15454357,Support,T2,T5,
15454357,Partial-Attack,T3,T5,
15472910,Support,T7,T8,
15472910,Support,T6,T8,
15472910,Support,T4,T6,
15472910,Support,T3,T7,
15472910,Support,T2,T6,
15514373,Support,T2,T3,
15514373,Support,T1,T3,
15542159,Support,T5,T6,
15542159,Support,T4,T6,
15542159,Support,T3,T6,
15542159,Support,T1,T6,
15547181,Partial-Attack,T9,T8,
15547181,Support,T8,T10,
15547181,Partial-Attack,T7,T6,
15547181,Partial-Attack,T5,T4,
15547181,Support,T2,T8,
15547181,Support,T3,T7,
15625369,Support,T1,T7,
15625369,Support,T2,T7,
15625369,Partial-Attack,T5,T4,
15625369,Support,T6,T7,
15659490,Support,T5,T8,
15659490,Support,T4,T8,
15659490,Support,T3,T8,
15659490,Support,T6,T9,
15668285,Partial-Attack,T7,T6,
15668285,Support,T1,T6,
15668285,Support,T2,T6,
15668285,Support,T4,T6,
15668285,Support,T5,T8,
15684319,Support,T1,T12,
15684319,Support,T3,T14,
15684319,Support,T2,T12,
15684319,Support,T4,T14,
15684319,Support,T5,T12,
15684319,Support,T7,T14,
15705087,Partial-Attack,T10,T9,
15705087,Support,T5,T9,
15705087,Support,T6,T11,
15705087,Partial-Attack,T4,T3,
15705087,Support,T3,T9,
15705087,Support,T2,T11,
15713598,Support,T4,T5,
15713598,Support,T3,T5,
15713598,Support,T2,T5,
15713598,Partial-Attack,T1,T5,
15714933,Support,T6,T7,
15714933,Support,T3,T7,
15714933,Support,T2,T7,
15714933,Support,T1,T7,
15738537,Partial-Attack,T9,T8,
15738537,Support,T3,T10,
15738537,Support,T4,T10,
15738537,Support,T5,T10,
15738537,Support,T2,T10,
15738537,Support,T7,T10,
15738537,Support,T6,T10,
15748464,Support,T6,T8,
15748464,Support,T2,T8,
15748464,Support,T3,T8,
15750359,Attack,T5,T4,
15750359,Partial-Attack,T6,T4,
15750359,Support,T3,T4,
15750359,Support,T1,T5,
15750359,Support,T2,T6,
15750360,Partial-Attack,T5,T6,
15750360,Partial-Attack,T7,T6,
15750360,Partial-Attack,T2,T1,
15750360,Support,T3,T6,
15753541,Support,T5,T6,
15753541,Support,T4,T6,
15753541,Support,T3,T6,
15800308,Partial-Attack,T7,T6,
15800308,Support,T4,T7,
15800308,Support,T2,T6,
15839957,Support,T3,T7,
15880316,Support,T7,T9,
15880316,Support,T8,T9,
15880316,Support,T3,T9,
15880316,Support,T4,T9,
15880316,Support,T2,T9,
15880316,Support,T1,T9,
15880316,Support,T6,T9,
15888157,Support,T8,T9,
15888157,Support,T7,T8,
15888157,Support,T5,T8,
15888157,Support,T6,T8,
15888157,Support,T4,T8,
15888157,Partial-Attack,T3,T2,
15888157,Partial-Attack,T2,T8,
15892043,Support,T2,T1,
15892043,Support,T3,T1,
15892043,Support,T7,T8,
15892043,Support,T6,T8,
15892043,Support,T5,T8,
15892043,Support,T4,T8,
15920748,Support,T8,T10,
15920748,Support,T1,T10,
15920748,Support,T2,T10,
15920748,Support,T6,T5,
15920748,Support,T7,T11,
15920748,Support,T4,T11,
16020979,Attack,T3,T2,
16020979,Partial-Attack,T11,T10,
16020979,Support,T9,T11,
16020979,Support,T8,T11,
16125515,Support,T5,T4,
16125515,Support,T2,T3,
16125515,Support,T1,T3,
16135469,Support,T2,T7,
16135469,Partial-Attack,T4,T3,
16135469,Partial-Attack,T3,T7,
16135469,Support,T6,T5,
16135469,Support,T5,T7,
16135471,Partial-Attack,T5,T4,
16135471,Support,T3,T4,
16135471,Support,T2,T4,
16135471,Support,T1,T4,
16157934,Support,T2,T5,
16157934,Support,T3,T4,
16163445,Support,T6,T7,
16163445,Support,T5,T7,
16163445,Support,T4,T7,
16163445,Support,T2,T1,
16163445,Support,T3,T1,
16179098,Support,T9,T10,
16179098,Support,T3,T11,
16179098,Support,T4,T11,
16179098,Support,T5,T11,
16179098,Support,T6,T11,
16179098,Support,T7,T10,
16179098,Support,T8,T10,
16203762,Support,T2,T4,
16260701,Partial-Attack,T2,T1,
16260701,Support,T3,T4,
16280763,Support,T10,T9,
16280763,Support,T1,T8,
16280763,Support,T2,T8,
16280763,Support,T3,T2,
16280763,Support,T4,T8,
16280763,Support,T5,T9,
16280763,Support,T6,T10,
16294343,Partial-Attack,T6,T5,
16294343,Partial-Attack,T3,T2,
16294343,Support,T2,T5,
16294343,Support,T4,T5,
16319148,Partial-Attack,T2,T1,
16319148,Support,T3,T4,
16321761,Support,T2,T3,
16321761,Support,T1,T3,
16344321,Support,T5,T6,
16344321,Partial-Attack,T4,T3,
16344321,Support,T3,T6,
16376417,Support,T8,T11,
16376417,Support,T6,T11,
16376417,Partial-Attack,T7,T6,
16376417,Support,T5,T11,
16376417,Support,T9,T11,
16376417,Support,T10,T11,
16384850,Support,T4,T5,
16384850,Support,T3,T6,
16416368,Partial-Attack,T10,T9,
16416368,Support,T8,T12,
16416368,Support,T9,T11,
16416368,Support,T6,T11,
16416368,Support,T5,T11,
16416368,Support,T4,T11,
16446322,Support,T4,T3,
16446322,Support,T5,T6,
16446322,Support,T2,T6,
16446322,Support,T3,T6,
16446322,Partial-Attack,T7,T6,
16446322,Support,T6,T8,
16572647,Partial-Attack,T6,T5,
16572647,Attack,T3,T2,
16598426,Partial-Attack,T12,T11,
16598426,Support,T10,T11,
16598426,Support,T9,T12,
16598426,Support,T5,T12,
16598426,Support,T6,T11,
16598426,Support,T7,T12,
16670385,Support,T2,T6,
16670385,Support,T4,T6,
16670385,Support,T5,T6,
16670385,Support,T3,T6,
16787687,Support,T3,T8,
16787687,Support,T4,T8,
16787687,Support,T5,T7,
16787687,Support,T6,T7,
16802254,Support,T1,T3,
16802254,Support,T2,T3,
16816536,Support,T4,T7,
16816536,Support,T5,T6,
16816536,Support,T2,T6,
16816536,Support,T1,T6,
16816536,Support,T3,T6,
16823511,Partial-Attack,T7,T6,
16823511,Partial-Attack,T2,T1,
16823511,Support,T3,T6,
16823511,Support,T4,T7,
16823511,Support,T5,T8,
16835585,Support,T6,T4,
16835585,Support,T9,T7,
16835585,Support,T4,T12,
16835585,Support,T7,T12,
16835585,Support,T10,T12,
16835585,Support,T11,T12,
16849753,Support,T1,T4,
16849753,Support,T2,T4,
16877734,Partial-Attack,T9,T10,
16877734,Support,T8,T10,
16877734,Support,T7,T10,
16877734,Support,T6,T10,
16877734,Support,T5,T10,
16877734,Support,T4,T10,
16877734,Support,T3,T10,
16877734,Support,T2,T9,
16882940,Support,T9,T10,
16882940,Support,T8,T9,
16882940,Support,T5,T9,
16882940,Support,T4,T9,
16882940,Support,T3,T9,
16882940,Support,T6,T10,
16921034,Support,T1,T7,
16921034,Support,T2,T7,
16921034,Support,T3,T7,
16921034,Support,T4,T7,
16921034,Support,T5,T7,
16921047,Attack,T9,T8,
16921047,Support,T2,T8,
16921047,Support,T1,T8,
16921047,Support,T8,T7,
16921047,Support,T6,T7,
16921047,Attack,T3,T2,
16921047,Support,T4,T7,
16921047,Support,T5,T7,
16934909,Support,T5,T9,
16934909,Support,T8,T9,
16934909,Support,T7,T9,
16934909,Support,T6,T9,
16942833,Support,T4,T5,
16942833,Support,T3,T5,
16942833,Support,T2,T5,
16942833,Support,T5,T6,
16944295,Support,T6,T4,
16944295,Support,T5,T4,
16944295,Support,T2,T7,
16944295,Support,T3,T7,
16953985,Support,T4,T7,
16953985,Support,T2,T7,
16953985,Support,T5,T7,
16953985,Support,T7,T9,
16953985,Support,T1,T7,
16965866,Support,T6,T7,
16965866,Support,T4,T7,
16965866,Support,T2,T8,
16965866,Support,T1,T7,
16966687,Partial-Attack,T3,T2,
16966687,Support,T8,T10,
16966687,Support,T9,T10,
16966687,Support,T6,T10,
16966687,Support,T5,T10,
16966687,Support,T4,T10,
16981945,Partial-Attack,T7,T6,
16981945,Partial-Attack,T6,T8,
16981945,Support,T5,T8,
17029276,Support,T9,T11,
17029276,Support,T7,T9,
17029276,Support,T5,T9,
17029276,Support,T4,T9,
17029276,Support,T3,T9,
17029276,Support,T2,T9,
17039380,Support,T4,T3,
17039380,Partial-Attack,T5,T4,
17039380,Support,T1,T2,
17047644,Support,T6,T7,
17047644,Support,T5,T7,
17047644,Support,T4,T7,
17047644,Attack,T3,T2,
17047644,Support,T1,T7,
17047644,Support,T2,T7,
17075117,Support,T6,T7,
17075117,Support,T5,T7,
17075117,Support,T7,T9,
17075117,Support,T3,T7,
17075117,Support,T2,T7,
17075117,Support,T1,T7,
17090981,Support,T3,T4,
17090981,Support,T2,T4,
17145528,Support,T3,T7,
17145528,Support,T2,T7,
17145528,Support,T7,T8,
17145528,Support,T6,T7,
17145528,Support,T5,T7,
17145528,Support,T4,T7,
17159194,Support,T5,T7,
17159194,Partial-Attack,T4,T3,
17159194,Support,T3,T7,
17159194,Support,T2,T7,
17159194,Support,T1,T7,
17187405,Support,T10,T12,
17187405,Support,T9,T12,
17187405,Support,T8,T12,
17187405,Support,T7,T12,
17187405,Support,T6,T12,
17195085,Support,T9,T11,
17195085,Support,T6,T11,
17195085,Support,T8,T9,
17195085,Support,T7,T9,
17195085,Partial-Attack,T5,T4,
17195085,Support,T3,T11,
17195085,Support,T2,T10,
17251532,Support,T7,T8,
17251532,Support,T6,T8,
17251532,Support,T5,T8,
17251532,Support,T3,T8,
17251532,Support,T4,T8,
17251532,Support,T2,T8,
17307761,Support,T4,T5,
17307761,Support,T7,T4,
17307761,Support,T3,T5,
17312332,Support,T4,T5,
17312332,Partial-Attack,T3,T5,
17312332,Support,T2,T5,
17324657,Support,T1,T6,
17324657,Support,T2,T6,
17324657,Support,T3,T6,
17324657,Support,T6,T7,
17324657,Partial-Attack,T4,T5,
17324657,Partial-Attack,T5,T3,
17369574,Support,T3,T7,
17369574,Support,T4,T7,
17467230,Attack,T11,T2,
17467230,Support,T3,T11,
17467230,Support,T4,T3,
17467230,Support,T5,T11,
17467230,Support,T6,T11,
17467230,Partial-Attack,T8,T7,
17467230,Support,T9,T11,
17522936,Support,T3,T4,
17522936,Support,T2,T4,
17522936,Support,T1,T5,
17548243,Support,T5,T6,
17548243,Partial-Attack,T4,T6,
17548243,Support,T2,T6,
17550132,Support,T3,T7,
17550132,Support,T5,T7,
17550132,Support,T4,T8,
17602075,Support,T4,T5,
17602075,Support,T2,T1,
17602075,Support,T1,T5,
17602075,Support,T3,T5,
17626056,Partial-Attack,T6,T4,
17626056,Support,T1,T4,
17661342,Support,T6,T7,
17661342,Support,T3,T7,
17661342,Partial-Attack,T4,T3,
17661342,Support,T5,T7,
17664468,Support,T3,T4,
17664468,Support,T2,T4,
17664469,Support,T1,T5,
17664469,Support,T2,T5,
17664469,Support,T3,T5,
17664469,Support,T4,T5,
17669280,Partial-Attack,T10,T9,
17669280,Partial-Attack,T15,T16,
17669280,Partial-Attack,T17,T16,
17669280,Support,T18,T17,
17669280,Support,T12,T18,
17669280,Support,T14,T16,
17669280,Support,T13,T18,
17669280,Partial-Attack,T8,T7,
17669280,Support,T6,T18,
