id_fichero,id_frase,tipo,text
10735891,T1,Claim,"Suramin is a novel agent that has demonstrated preliminary evidence of antitumor activity in hormone-refractory prostate cancer (HRPC).",
10735891,T2,Premise,"Overall mean reductions in combined pain and opioid analgesic intake were greater for suramin plus HC (rank sum P =.0001).",
10735891,T3,Premise,"Pain response was achieved in a higher proportion of patients receiving suramin than placebo (43% v 28%; P =.001),",
10735891,T4,Premise,"duration of response was longer for suramin responders (median, 240 v 69 days; P =.0027).",
10735891,T5,Premise,"Time to disease progression was longer (relative risk = 1.5; 95% confidence interval, 1.2 to 1.9)",
10735891,T6,Premise,"the proportion of patients with a greater than 50% decline in PSA was higher (33% v 16%; P =.01) in patients who received suramin.",
10735891,T7,Premise,"Neither quality of life nor performance status was decreased by suramin treatment,",
10735891,T8,Premise,"overall survival was similar.",
10735891,T9,Premise,"Most adverse events were of mild or moderate intensity and were easily managed medically.",
10735891,T10,Claim,"Outpatient treatment with suramin plus HC is well tolerated and provides moderate palliative benefit and delay in disease progression for patients with symptomatic HRPC.",
"10735891","Niguno","O","A prospective randomized clinical trial was designed to evaluate pain and opioid analgesic intake as surrogates for antitumor response in HRPC patients with significant, opioid analgesic-dependent pain.",
"10735891","Niguno","O","A double-blind, placebo-controlled trial randomized patients to receive a 78-day, outpatient regimen of either suramin plus hydrocortisone (HC, 40 mg/d) or placebo plus HC.",
"10735891","Niguno","O","Treatment assignment was unblinded when either disease progression or dose-limiting toxicity occurred; placebo patients were allowed to cross-over to open-label suramin plus HC.",
"10735891","Niguno","O","In addition to pain and opioid analgesic intake, prostate-specific antigen (PSA) response, time to disease progression, quality of life, performance status, and survival were compared.",
10811675,T1,Premise,"Time to progression was longer for docetaxel patients than for best supportive care patients (10.6 v 6.7 weeks, respectively; P <.001), as was median survival (7.0 v 4.6 months; log-rank test, P =.047).",
10811675,T2,Premise,"The difference was more significant for docetaxel 75 mg/m(2) patients, compared with corresponding best supportive care patients (7.5 v 4.6 months; log-rank test, P =.010; 1-year survival, 37% v 11%; chi(2) test, P =.003).",
10811675,T3,Premise,"Febrile neutropenia occurred in 11 patients treated with docetaxel 100 mg/m(2), three of whom died, and in one patient treated with docetaxel 75 mg/m(2).",
10811675,T4,Premise,"Grade 3 or 4 nonhematologic toxicity, with the exception of diarrhea, occurred at a similar rate in both the docetaxel and best supportive care groups.",
10811675,T5,Claim,"Treatment with docetaxel is associated with significant prolongation of survival,",
10811675,T6,Claim,"at a dose of 75 mg/m(2), the benefits of docetaxel therapy outweigh the risks.",
"10811675","Niguno","O","To evaluate whether treatment with single-agent docetaxel would result in longer survival than would best supportive care in patients with non-small-cell lung cancer who had previously been treated with platinum-based chemotherapy.",
"10811675","Niguno","O","Secondary end points included assessment of response (docetaxel arm only), toxicity, and quality of life.",
"10811675","Niguno","O","Patients with performance statuses of 0 to 2 and stage IIIB/IV non-small-cell lung cancer with either measurable or evaluable lesions were eligible for entry onto the study if they had undergone one or more platinum-based chemotherapy regimens and if they had adequate hematology and biochemistry parameters.",
"10811675","Niguno","O","They were excluded if they had symptomatic brain metastases or if they had previously been treated with paclitaxel.",
"10811675","Niguno","O","Patients were stratified by performance status and best response to cisplatin chemotherapy and were then randomized to treatment with docetaxel 100 mg/m(2) (49 patients) or 75 mg/m(2) (55 patients) or best supportive care.",
"10811675","Niguno","O","Patients in both arms were assessed every 3 weeks.",
"10811675","Niguno","O","One hundred four patients (103 of whom were eligible for entry onto the study) were well balanced for prognostic factors.",
"10811675","Niguno","O","Of 84 patients with measurable lesions, six (7.",
"10811675","Niguno","O","1%) achieved partial responses (three patients at each dose level).",
11766999,T1,Claim,"In the context of chronic physical illness, such as breast cancer, depression is associated with increased morbidity, longer periods of hospitalization, and greater overall disability.",
11766999,T3,Premise,"After 8-weeks treatment, depressive symptomatology had improved markedly and to a similar extent in both groups on the Montgomery Asberg Depression Rating Scale.",
11766999,T4,Premise,"Clinical global impression (CGI) Global improvement and Patient global evaluation scales indicated that patients were minimally to much improved at study endpoint: a change from moderately/mildly ill to borderline ill on the CGI severity of Illness scale.",
11766999,T5,Claim,"A steady improvement in quality of life was also observed in both groups.",
11766999,T6,Premise,"There were no clinically significant differences between the groups.",
11766999,T7,Premise,"In total, 47 (53.4%) patients in the paroxetine group and 53 (59.6%) patients in the amitriptyline group had adverse experiences, the most common of which were the well-recognized side-effects of the antidepressant medications or chemotherapy.",
11766999,T8,Premise,"Anticholinergic effects were almost twice as frequent in the amitriptyline group (19.1%) compared with paroxetine (11.4%).",
11766999,T9,Claim,"paroxetine is a suitable alternative to amitriptyline for the treatment of depression in patients with breast cancer.",
11766999,T2,Claim,"Prompt diagnosis and effective treatment is, therefore, essential.",
"11766999","Niguno","O","Several small studies have established the efficacy of tricyclic antidepressants (TCAs) in this setting, and the selective serotonin reuptake inhibitors (SSRIs) would appear to be an alternative therapeutic option because of their established efficacy and better tolerability profile.",
"11766999","Niguno","O","This was a multicenter.",
"11766999","Niguno","O","double-blind, parallel-group study in which 179 women with breast cancer were randomized to treatment with either the SSRI paroxetine (20-40 mg/day), or the TCA, amitriptyline (75-150 mg/day).",
11786563,T1,Claim,"In a randomized clinical trial in patients with advanced non-small-cell lung cancer (NSCLC), infusion with adenosine 5'-triphosphate (ATP) inhibited loss of body weight and quality of life.",
11786563,T2,Premise,"No change in body composition over the 28-week follow-up period was found in the ATP group, whereas, per 4 weeks, the control group lost 0.6 kg of FM (P =.004), 0.5 kg of FFM (P =.02), 1.8% of arm muscle area (P =.02), and 0.6% of BCM/kg body weight (P =.054) and decreased 568 KJ/d in energy intake (P =.0001).",
11786563,T3,Premise,"Appetite also remained stable in the ATP group but decreased significantly in the control group (P =.0004).",
11786563,T4,Premise,"No significant differences in REE between the ATP and control groups were observed.",
11786563,T5,Claim,"The inhibition of weight loss by ATP infusions in patients with advanced NSCLC is attributed to counteracting the loss of both metabolically active and inactive tissues.",
11786563,T6,Premise,"These effects are partly ascribed to maintenance of energy intake.",
"11786563","Niguno","O","In the present article, the effects of ATP on body composition, energy intake, and energy expenditure as secondary outcome measures in the same patients are reported.",
"11786563","Niguno","O","Patients with NSCLC, stage IIIB or IV, were randomized to receive either 10 intravenous, 30-hour ATP infusions every 2 to 4 weeks or no ATP.",
"11786563","Niguno","O","Fat mass (FM), fat-free mass (FFM), and arm muscle area were assessed at 4-week intervals for 28 weeks.",
"11786563","Niguno","O","Food intake, body cell mass (BCM), and resting energy expenditure (REE) were assessed at 8-week intervals for 16 weeks.",
"11786563","Niguno","O","Between-group differences were tested for statistical significance by repeated-measures analysis of covariance.",
"11786563","Niguno","O","Fifty-eight patients were randomized (28 ATP, 30 control).",
11788911,T1,Premise,"At a median follow-up time of 13.5 months (range 1-28+) at June 2001, among 26 patients enrolled 12 (46.1%) were still alive and 9 (75%) of them were progression-free.",
11788911,T2,Premise,"The median duration of response was 9 months (range 0-25+), the median progression-free survival was 10.5 months (range 0-28+), the median overall survival time was 9 months (range 1-22).",
11788911,T3,Premise,"The toxicity was significant and consisted mainly of mucositis and, to a lesser extent, neutropenia/thrombocytopenia.",
11788911,T4,Claim,"the low serum levels of leptin and the high serum levels of proinflammatory cytokines in advanced stage cancer patients were confirmed.",
11788911,T5,Claim,"this sequential induction chemotherapy and chemoradiotherapy program has been found moderately active and significantly toxic;",
11788911,T6,MajorClaim,"this regimen could not be recommended for a phase III randomized study.",
"11788911","Niguno","O","The purpose of the study was to assess response rate, clinical outcome, organ/function preservation and toxicity in head and neck cancer patients treated with induction chemotherapy followed by concomitant chemoradiotherapy and, when necessary, limited surgery.",
"11788911","Niguno","O","The study design was a phase II non-randomized trial in hospitalized patients setting.",
"11788911","Niguno","O","The treatment plan consisted of 3 cycles of induction chemotherapy with cisplatin, fluorouracil (5-FU), l-leucovorin and interferon alpha2b (PFL-IFN) followed by 7 cycles of 5-FU, hydroxyurea and concomitant radiation for 5 days (FHX) for a total radiation dose of 70 Gy.",
"11788911","Niguno","O","13 Cis-retinoic acid was added to treatment regimen for chemoprevention and a systematic prophylaxis of mucositis was administered to all patients during FHX.",
"11788911","Niguno","O","Conservative surgical resection was reserved to patients with no optimal response (PR > or =70%), whereas radical surgery was performed as salvage treatment.",
"11788911","Niguno","O","Twenty-six patients were treated at one institution: more than 90% had stage IV disease and only 19.2% had laryngeal cancer.",
"11788911","Niguno","O","Eighty-one percent of patients had performance status 0 and 23.1% of patients had >5% weight loss at the start of treatment.",
"11788911","Niguno","O","Nineteen patients were analyzed for response to PFL-IFN: 3/19 (15.8%) patients achieved a CR and 7/19 (36.8%) achieved a PR for an ORR of 52.6%.",
"11788911","Niguno","O","FHX was administered on protocol to 12 patients: 6 patients (50%) had CR, 1 patient (8.3%) had PR for an ORR of 58.3%, 2 patients (16.7%) had SD and 3 patients (25%) had PD.",
"11788911","Niguno","O","At the completion of FHX, no patient underwent local therapy according to treatment plan.",
11790211,T1,Claim,"Laparoscopic-assisted colectomy (LAC) has emerged as the preferred minimally invasive surgical strategy for diseases of the colon.",
11790211,T2,MajorClaim,"The safety and efficacy of LAC for colon cancer are unknown,",
11790211,T3,MajorClaim,"the nature and magnitude of any quality-of-life (QOL) benefit resulting from LAC for colon cancer is also unknown.",
