id_fichero,id_frase,tipo,text
10561201,T1,MajorClaim,"Una combinación de mitoxantrona más prednisona es preferible a la prednisona sola para reducir el dolor en hombres con cáncer de próstata metastásico, resistente a hormonas.",
10561201,T2,Premise,"A las 6 semanas, ambos grupos mostraron mejoría en varios dominios HQL,",
10561201,T3,Premise,"sólo el funcionamiento físico y el dolor fueron mejores en el grupo de mitoxantrona más prednisona que en el grupo de prednisona sola.",
10561201,T4,Premise,"Después de 6 semanas, los pacientes que tomaron prednisona no mostraron mejoría en las puntuaciones de HQL, mientras que los que tomaron mitoxantrona más prednisona mostraron mejorías significativas en la calidad de vida global (P = 0,009), cuatro dominios funcionales y nueve síntomas (.001 < P < 01),",
10561201,T6,Premise,"la mejora (> 10 unidades en una escala de 0 a 100) duró más tiempo que en el grupo de prednisona sola (.004 < P < 0,05).",
10561201,T7,Premise,"La adición de mitoxantrona a la prednisona después del fracaso de la prednisona sola se asoció con mejoras en el dolor, impacto del dolor, alivio del dolor, insomnio y calidad de vida global (.001 < P <.003).",
10561201,T8,Claim,"El tratamiento con mitoxantrona más prednisona se asoció con una mejoría mayor y más duradera en varios dominios y síntomas del HQL que el tratamiento con prednisona sola.",
10561201,Niguno,O,"El objetivo de este estudio fue evaluar los efectos de estos tratamientos en la calidad de vida relacionada con la salud (HQL).",
10561201,Niguno,O,"Los hombres con cáncer de próstata metastásico (n = 161) fueron aleatorizados para recibir prednisona sola al día o mitoxantrona (cada 3 semanas) más prednisona.",
10561201,Niguno,O,"Aquellos que recibieron prednisona sola podrían tener mitoxantrona añadida después de 6 semanas si no hubo mejoría en el dolor.",
10561201,Niguno,O,"El HQL se evaluó antes del inicio del tratamiento y luego cada 3 semanas utilizando el Cuestionario de Calidad de Vida C30 (EORTC QLQ-C30) de la Organización Europea para la Investigación y el Tratamiento del Cáncer (QOLM-P14), un módulo específico para este estudio.",
10561201,Niguno,O,"Se utilizó un análisis de intención de tratar para determinar la duración media de la mejoría del HQL y las diferencias en la duración de la mejoría entre los grupos de pacientes.",
10561201,Niguno,O,"Después de 6 semanas, los pacientes que tomaron prednisona no mostraron mejoría en las puntuaciones de HQL, mientras que los que tomaron mitoxantrona más prednisona mostraron mejorías significativas en la calidad de vida global (P = 0,009), cuatro dominios funcionales y nueve síntomas (.001 < P <).",
10561203,T1,Claim,"En ensayos de terapia endocrina en cáncer de mama avanzado, los pacientes con respuesta (respuesta completa/respuesta parcial [CR/PR]) y los pacientes con enfermedad estable durante al menos 6 meses (SD(6m)) han mostrado una supervivencia similar y, por lo tanto, a menudo se definen como una población con beneficio clínico (pacientes con RC/PR o SD(6m)).",
10561203,T3,Premise,"Los respondedores indicaron un mejor bienestar físico (P =. 004) y estado de ánimo (P =.02) en el mes 3.",
10561203,T4,Premise,"En comparación sólo con pacientes con SD(6m), los respondedores no mostraron diferencias significativas en la CV basal y en el tiempo hasta el fracaso del tratamiento (328.5 v 340 días).",
10561203,T5,Premise,"Durante el tratamiento, los respondedores notificaron un bienestar físico significativamente mejor (meses 3 a 11), estado de ánimo (meses 5 a 11), afrontamiento (meses 5 a 9) y apetito (meses 7 a 11) y menos mareo (mes 9) que los pacientes con SD(6m).",
10561203,T6,Premise,"Los cambios entre los valores basales y los meses 5 y 7, respectivamente, indicaron una mejoría de los respondedores pero patrones heterogéneos en pacientes con SD(6m).",
10561203,T7,Premise,"Aunque los grupos CR/PR y SD(6m) tuvieron tiempos similares al fracaso del tratamiento,",
10561203,T8,Claim,"Los pacientes con RC/PR notificaron una mejor CV, lo que sugiere una respuesta más beneficiosa al tratamiento endocrino de segunda línea.",
10561203,Niguno,O,"Se evaluó el impacto de la respuesta y/o el beneficio clínico sobre la calidad de vida (QL) en pacientes postmenopáusicos bajo tratamiento endocrino de segunda línea tras el fracaso del tamoxifeno.",
10561203,Niguno,O,"Se analizaron ciento veintiocho de los 177 pacientes elegibles de un ensayo aleatorizado (Swiss Group for Clinical Cancer Research 20/90) que recibieron formaestano (250 mg dos veces al día por vía intramuscular) o acetato de megestrol (160 mg por vía oral al día).",
10561203,Niguno,O,"Las características basales (con la excepción del sitio de metástasis) fueron equilibradas entre los pacientes con RC/PR, SD(6m) y enfermedad progresiva (PD).",
10561203,Niguno,O,"Los pacientes completaron los indicadores de CV al inicio y a los 1, 3, 5, 7, 9 y 11 meses.",
10561203,Niguno,O,"Las respuestas se compararon por separado con no respondedores (pacientes con SD(6m) o PD) y con pacientes con SD(6m), y los pacientes con beneficio clínico se compararon con los pacientes con PD mediante análisis de covarianza con ajuste para las puntuaciones basales.",
10561203,Niguno,O,"En total, se recibió el 88% (557 de 634) de los formularios QL esperados.",
10561203,Niguno,O,"En la comparación de los respondedores frente a los pacientes con SD(6m) y PD, los respondedores indicaron un mejor bienestar físico (P =.",
10561203,Niguno,O,"004) y estado de ánimo (P = 0,02) en el mes 3.",
10561203,Niguno,O,"La perspectiva subjetiva de los pacientes debe tenerse en cuenta en este entorno principalmente paliativo.",
10561203,Niguno,O,"Los ensayos futuros deben diseñarse de manera que los grupos CR/PR y SD(6m) se investiguen por separado.",
10653877,T1,Claim,"El tratamiento con quimioterapia basada en cisplatino proporciona una modesta ventaja de supervivencia sobre la atención de apoyo sola en el cáncer de pulmón avanzado de células no pequeñas (NSCLC).",
10653877,T2,Premise,"Se observó una supervivencia superior con los regímenes combinados de paclitaxel (mediana del tiempo de supervivencia, 9,9 meses; tasa de supervivencia a 1 año, 38,9%) en comparación con etopósido más cisplatino (mediana del tiempo de supervivencia, 7,6 meses; tasa de supervivencia a 1 año, 31,8%; p = 048).",
10653877,T3,Premise,"La comparación de la supervivencia para los dos niveles de dosis de paclitaxel no mostró ninguna diferencia significativa.",
10653877,T4,Premise,"La mediana de la duración de supervivencia para el subgrupo en estadio IIIB fue de 7,9 meses para los pacientes con etopósido más cisplatino frente a 13,1 meses para todos los pacientes con paclitaxel (P = 152).",
10653877,T5,Premise,"Para el subgrupo en estadio IV, la mediana del tiempo de supervivencia de etopósido más cisplatino fue de 7,6 meses en comparación con 8,9 meses para paclitaxel (P = 2,46).",
10653877,T6,Premise,"Con las excepciones del aumento de la granulocitopenia en el régimen de dosis bajas de paclitaxel y aumento de las mialgias, neurotoxicidad y, posiblemente, aumento de los eventos cardíacos relacionados con el tratamiento con dosis altas de paclitaxel, la toxicidad fue similar en los tres brazos.",
10653877,T7,Premise,"La calidad de vida (QOL) disminuyó significativamente durante los 6 meses.",
10653877,T8,Claim,"Las puntuaciones de CV no fueron significativamente diferentes entre los regímenes.",
10653877,T9,Claim,"paclitaxel (135 mg/m(2)) en combinación con cisplatino ha reemplazado a etopósido más cisplatino como régimen de referencia en nuestro ensayo de fase III recientemente completado.",
10653877,Niguno,O,"Para determinar si un nuevo agente, paclitaxel, mejoraría aún más la supervivencia en el CPNM, el Eastern Cooperative Oncology Group realizó un ensayo aleatorizado comparando paclitaxel más cisplatino con un régimen de quimioterapia estándar consistente en cisplatino y etopósido.",
10653877,Niguno,O,"El estudio fue llevado a cabo por un grupo cooperativo multiinstitucional en pacientes con CPNM en estadio IIIB-IV sin quimioterapia, aleatorizados para recibir paclitaxel más cisplatino o etopósido más cisplatino.",
10653877,Niguno,O,"Paclitaxel se administró a dos niveles de dosis diferentes (135 mg/m(2) y 250 mg/m(2)), y etopósido se administró a una dosis de 100 mg/m(2) al día los días 1 a 3.",
10653877,Niguno,O,"Cada régimen se repitió cada 21 días y cada uno incluyó cisplatino (75 mg/m(2)).",
10653877,Niguno,O,"Las características de los 599 pacientes fueron bien equilibradas en los tres grupos de tratamiento.",
10653877,Niguno,O,"Se observó una supervivencia superior con los regímenes combinados de paclitaxel (mediana del tiempo de supervivencia, 9,9 meses; tasa de supervivencia a 1 año, 38,9%) en comparación con etopósido más cisplatino (mediana del tiempo de supervivencia, 7,6 meses; tasa de supervivencia a 1 año, 31,8%; p =.",
10653877,Niguno,O,"048).",
10675381,T1,MajorClaim,"En estudios no aleatorizados en los que participaron pacientes con diferentes tipos de tumores, incluido el cáncer de pulmón de células no pequeñas (NSCLC), la infusión de ATP pareció inhibir la pérdida de peso y el deterioro de la calidad de vida (QOL) y el estado de rendimiento.",
10675381,T2,Premise,"Los cambios medios de peso por periodo de 4 semanas fueron -1,0 kg (intervalo de confianza del 95% [IC] = -1,5 a -0,5) en el grupo control y 0,2 kg (IC del 95% = -0,2 a +0,6) en el grupo ATP (P = 0,002).",
10675381,T3,Premise,"La concentración sérica de albúmina disminuyó en -1,2 g/l (IC 95% = -2,0 a -0,4) por 4 semanas en el grupo control, pero se mantuvo estable (0,0 g/l; IC 95% = -0,3 a +0,3) en el grupo ATP (P = 0,006).",
10675381,T4,Premise,"La fuerza muscular del flexor del codo disminuyó un -5,5% (IC del 95% = -9,6% a -1,4%) por 4 semanas en el grupo control, pero se mantuvo estable (0,0%; IC del 95% = -1,4% a +1,4%) en el grupo ATP (P = 0,01).",
10675381,T5,Premise,"Se observó un patrón similar para los músculos extensores de rodilla (P = 0,02).",
10675381,T6,Premise,"Los efectos de ATP sobre el peso corporal, la fuerza muscular y la concentración de albúmina fueron especialmente marcados en pacientes caquéticos (P = 0,0002, P = 0,0001 y P = 0,0001, respectivamente, para ATP frente a ningún ATP).",
10675381,T7,Premise,"Los cambios en la puntuación de CV por periodo de 4 semanas en el grupo de ATP mostraron un deterioro global menor que en las puntuaciones de control grupo físico (-0,2% versus -2,4%; P = 0,0002); puntuaciones funcionales (+0,4% versus -5,5%; P =,02); puntuaciones psicológicas (-0,7% versus -2,4%; P = 11,1); puntuación global de CV (+0,1% versus -3,5%; P =,0001).",
10675381,T8,Claim,"ATP tiene efectos beneficiosos sobre el peso, la fuerza muscular y la CV en pacientes con CPNM avanzado.",
10675381,Niguno,O,"La adenosina extracelular 5'-trifosfato (ATP) está involucrada en la regulación de una variedad de procesos biológicos, incluyendo neurotransmisión, contracción muscular y metabolismo de glucosa hepática, a través de receptores purinérgicos.",
10675381,Niguno,O,"Se realizó un ensayo clínico aleatorizado para evaluar los efectos de ATP en pacientes con CPNM avanzado (estadio IIIB o IV).",
10675381,Niguno,O,"Se asignó al azar a 58 pacientes para recibir 10 infusiones intravenosas de 30 horas de ATP, con las perfusiones administradas a intervalos de 2 a 4 semanas, o sin ATP.",
10675381,Niguno,O,"Los parámetros de resultado se evaluaron cada 4 semanas hasta las 28 semanas.",
10675381,Niguno,O,"Las diferencias entre grupos se probaron para determinar la significación estadística mediante el uso de análisis de mediciones repetidas, y los valores de P notificados son de dos caras.",
10675381,Niguno,O,"Se asignaron 28 pacientes a recibir tratamiento con ATP y 30 no recibieron tratamiento con ATP.",
10675381,Niguno,O,"La fuerza muscular del flexor del codo disminuyó un -5,5% (IC del 95% = -9,6% a -1.",
10675381,Niguno,O,"4%) por 4 semanas en el grupo control, pero se mantuvo estable (0,0%; IC 95% = -1,4% a +1,4%) en el grupo ATP (P = 0,01).",
10675381,Niguno,O,"Los efectos de la ATP sobre el peso corporal, la fuerza muscular y la concentración de albúmina fueron especialmente marcados en pacientes caquéticos (P = 0,0002, P = 0,0001 y P =.",
10675381,Niguno,O,"0001, respectivamente, para ATP frente a no ATP).",
10675381,Niguno,O,"Los cambios en la puntuación de CV por periodo de 4 semanas en el grupo ATP mostraron en general menos deterioro que en los puntajes del grupo control-físico (-0,2% versus -2,4%; P =.",
10675381,Niguno,O,"0002); puntuaciones funcionales (+0,4% frente a -5,5%; P = 0,2); puntuaciones psicológicas (-0,7 frente a -2,4%; P = 11,); puntuación global de CV (+0,1% frente a -3,5%; P = 0,0001).",
10735887,T1,Premise,"Las tasas de respuesta objetiva global (OR) fueron más altas en los pacientes tratados con EXE que en los tratados con MA (15,0% v 12,4%);",
10735887,T2,Premise,"se observó una tendencia similar en pacientes con metástasis viscerales (13,5% vs 10,5%).",
10735887,T3,Premise,"La mediana del tiempo de supervivencia fue significativamente más largo con EXE (mediana no alcanzada) que con MA (123,4 semanas; P = 0,039), al igual que la mediana de la duración del éxito global (OR o enfermedad estable > o = 24 semanas; 60,1 v 49,1 semanas; P = 025), el tiempo hasta la progresión del tumor (20,3 v 16,6 semanas; P = 037), y el tiempo hasta el fracaso del tratamiento (16,3 v 15,7 semanas; P = 0,042).",
10735887,T4,Premise,"En comparación con MA, hubo mejoras similares o mayores en el dolor, TRSS y CV con EXE.",
10735887,T5,Claim,"Ambas drogas fueron bien toleradas.",
10735887,T6,Premise,"Los cambios de peso de grado 3 o 4 fueron más frecuentes con MA (17,1% v 7,6%; P = 0,001).",
10735887,T7,Claim,"EXE prolonga el tiempo de supervivencia, el tiempo hasta la progresión del tumor y el tiempo hasta el fracaso del tratamiento en comparación con MA y ofrece una opción de tratamiento bien tolerada para mujeres postmenopáusicas con cáncer de mama avanzado y progresivo que experimentaron fracaso del tamoxifeno.",
10735887,Niguno,O,"Este estudio de fase III, doble ciego, aleatorizado, multicéntrico evaluó la eficacia, farmacodinámica y seguridad del exemestano inactivador de aromatasa oral (EXE) versus acetato de megestrol (MA) en mujeres postmenopáusicas con cáncer de mama avanzado progresivo que experimentaron fracaso de tamoxifeno.",
10735887,Niguno,O,"Un total de 769 pacientes fueron aleatorizados a EXE 25 mg/d (n = 366) o MA (n = 403) 40 mg cuatro veces al día.",
10735887,Niguno,O,"Se evaluó la respuesta tumoral, la duración del control del tumor, los signos y síntomas relacionados con el tumor (TRSS), la calidad de vida (QOL), la supervivencia y la tolerabilidad.",
10856098,T1,Premise,"Las tasas de respuesta, CV y mediana de RD, TTP y TTF no fueron significativamente diferentes entre los brazos.",
10856098,T2,Premise,"La mediana de SG fue de 13,8 meses para el brazo 1 frente a 14,4 meses para el brazo 2 (P = 0,4).",
10856098,T3,Premise,"La granulocitopenia de grado 3 o 4 fue equivalente en ambos brazos, pero se observaron más neurotoxicidad de grado 3/4, toxicidad venosa leve y FN en el brazo 1.",
10856098,T4,Claim,"La supervivencia con DOX y VNB no es superior a DOX solo en MBC.",
10856098,Niguno,O,"Este estudio de fase III se realizó para determinar la superioridad de doxorrubicina (DOX) y vinorelbina (VNB) (brazo 1) frente a DOX solo (brazo 2) en el cáncer de mama metastásico (MBC) para la supervivencia global (SG), el tiempo hasta el fracaso del tratamiento (TTF), la toxicidad y la calidad de vida (QOL).",
10856098,Niguno,O,"Trescientos tres pacientes fueron aleatorizados a DOX 50 mg/m(2) por vía intravenosa (IV) el día 1 y VNB 25 mg/m(2) IV los días 1 y 8 (brazo 1) o DOX 70 mg/m(2) IV el día 1 (brazo 2).",
10856098,Niguno,O,"Ambos regímenes se administraron cada 3 semanas hasta una dosis acumulada de DOX de 450 mg/m(2).",
10856098,Niguno,O,"Después de 16 de los primeros 65 pacientes aleatorizados experimentaron neutropenia febril (FN), las dosis se redujeron a DOX 40 mg/m(2) en el día 1 y VNB 20 mg/m(2) en los días 1 y 8 frente a DOX 60 mg/m(2) en el día 1.",
10856098,Niguno,O,"Los pacientes elegibles fueron alcaloide vinca y antraciclina ingenuos.",
10856098,Niguno,O,"La quimioterapia fue de primera o segunda línea para el CMB.",
10856098,Niguno,O,"Tres pacientes no eran elegibles.",
10856098,Niguno,O,"Así, 300 pacientes fueron evaluados por toxicidad y para determinar el tiempo hasta la progresión de la enfermedad (TTP), TTF y SG.",
10856098,Niguno,O,"Se evaluó la respuesta de 289 pacientes y se evaluó la duración de la respuesta de 99 pacientes.",
10880548,T1,MajorClaim,"Los síntomas menopausales (por ejemplo, sofocos, sequedad vaginal e incontinencia urinaria por estrés) son muy comunes en los sobrevivientes de cáncer de mama y no se pueden controlar con la terapia de reemplazo de estrógeno estándar (ERT) en estos pacientes.",
10880548,T2,Premise,"Los pacientes que recibieron la intervención demostraron una mejoría estadísticamente significativa (P = 0,0004) en los síntomas menopáusicos, pero no un cambio significativo en la vitalidad (P = 0,77).",
10880548,T3,Premise,"El funcionamiento sexual mejoró estadísticamente significativamente (P = 0,04) en el grupo de tratamiento en comparación con el grupo de cuidados habituales.",
10880548,T4,Claim,"Un programa de evaluación clínica e intervención para el manejo de síntomas menopáusicos en sobrevivientes de cáncer de mama es factible y aceptable para los pacientes, lo que conduce a la reducción de los síntomas y la mejora en el funcionamiento sexual.",
10880548,T5,Claim,"No se demostró una mejora mensurable en una medida de CV general.",
10880548,Niguno,O,"El objetivo de este estudio fue probar la eficacia de un amplio programa de intervención de evaluación menopáusica (CMA) para lograr el alivio de los síntomas, la mejora de la calidad de vida (QOL) y el funcionamiento sexual en sobrevivientes de cáncer de mama.",
10880548,Niguno,O,"Utilizando un diseño controlado aleatorio de dos grupos, asignamos 76 sobrevivientes de cáncer de mama postmenopáusico con al menos un síntoma objetivo grave al grupo de intervención o a un grupo de atención habitual.",
10880548,Niguno,O,"Setenta y dos mujeres fueron evaluables al final del período de estudio.",
10880548,Niguno,O,"La intervención de la CMA, realizada por un enfermero, se centró en la evaluación de los síntomas, la educación, el asesoramiento y, en su caso, intervenciones farmacológicas y conductuales específicas para cada uno de los tres síntomas diana.",
10880548,Niguno,O,"Los síntomas psicosociales se evaluaron con el uso de un instrumento de auto-reporte de detección, y las mujeres angustiadas fueron remitidas para asesoramiento si era necesario.",
10880548,Niguno,O,"La intervención tuvo lugar durante un período de cuatro meses.",
10880548,Niguno,O,"Los resultados medidos fueron puntajes en una escala compuesta de síntomas menopáusicos, la Escala de Vitalidad de la Encuesta de Salud de RAND Short Form y la Escala de Funcionamiento Sexual del Sistema de Rehabilitación del Cáncer (CARES) al inicio y a los 4 meses de seguimiento.",
10880548,Niguno,O,"Todas las pruebas estadísticas fueron de dos lados y se realizaron en el alfa =.",
10880548,Niguno,O,"05 nivel de significación.",
10880550,T1,Claim,"En ensayos de fase II, paclitaxel ha demostrado tener actividad antitumoral en pacientes con cáncer de pulmón avanzado de células no pequeñas (NSCLC).",
10880550,T3,Premise,"La supervivencia fue estadísticamente significativamente mejor en el brazo de paclitaxel más cuidado de apoyo que en el brazo de cuidado de apoyo solo (p de dos lados = 0,037) (mediana de supervivencia = 6,8 meses frente a 4,8 meses).",
10880550,T4,Premise,"El análisis multivariado de Cox mostró que paclitaxel más los cuidados de apoyo se asociaron estadísticamente significativamente con una mejor supervivencia (dos caras P = 0,048).",
10880550,T5,Premise,"QOL fue similar en ambos brazos de tratamiento,",
10880550,T6,Premise,"excepto la puntuación de actividad funcional de la Lista de verificación de Rotterdam, en la que los datos de CV favorecieron estadísticamente significativamente al grupo de paclitaxel más de soporte (dos caras P = 0,043).",
10880550,T7,Claim,"La adición de paclitaxel a la mejor atención de apoyo mejoró significativamente la supervivencia y el tiempo hasta la progresión de la enfermedad en comparación con la mejor atención de apoyo en pacientes con CPNM avanzado y puede mejorar algunos aspectos de la CV.",
10880550,Niguno,O,"Sin embargo, en un ensayo clínico aleatorizado no se han evaluado los beneficios de supervivencia y calidad de vida (QOL) de paclitaxel utilizado como un solo agente en comparación con los cuidados de apoyo por sí solos.",
10880550,Niguno,O,"Un total de 157 pacientes con CPNM en estadio IIIB o IV que no habían recibido quimioterapia previa fueron asignados aleatoriamente para recibir el mejor tratamiento de apoyo solo (78 pacientes) o paclitaxel más tratamiento de apoyo (79 pacientes).",
10880550,Niguno,O,"Paclitaxel se administró en perfusión intravenosa de 3 horas cada 3 semanas.",
10880550,Niguno,O,"Los cuidados de apoyo incluyeron radioterapia paliativa y terapia de apoyo con corticosteroides, antibióticos, analgésicos, antieméticos, transfusiones y otra terapia sintomática según fuera necesario.",
10880550,Niguno,O,"El punto final primario del estudio fue la supervivencia.",
10880550,Niguno,O,"El tiempo hasta la progresión de la enfermedad, la tasa de respuesta, los acontecimientos adversos y la CV fueron puntos finales secundarios.",
10880550,Niguno,O,"Las características del pretratamiento se distribuyeron uniformemente entre los dos brazos.",
10930797,T1,Premise,"El modelo final multivariado predijo una mala supervivencia con múltiples sitios de enfermedad visceral (P=0,003), IFD </=2 años (P=0,026) y dolor (P=0,003).",
10930797,T2,Premise,"Para la supervivencia, múltiples sitios de enfermedad visceral, dolor, QL global y fatiga fueron factores pronósticos significativos en el análisis univariado.",
10930797,T3,Premise,"Para la respuesta, la edad, la disnea, la fatiga y la CV global fueron factores predictivos significativos en el análisis univariado.",
10930797,T4,Premise,"El último modelo multivariado para respuesta seleccionado DFI (P=0,009), múltiples sitios de enfermedad visceral (P=0,037) y disnea (P=<0,001) utilizando la selección hacia adelante,",
10930797,T5,Premise,"pero la inestabilidad del modelo fue indicada por la inclusión de la fatiga y la función emocional en el modelo final cuando se utilizó la selección retrógrada.",
10930797,T6,Claim,"Las variables QL evaluadas por el paciente parecen ser pronósticas para la supervivencia y la respuesta a la quimioterapia en mujeres con cáncer de mama avanzado.",
10930797,T7,Claim,"Sin embargo, la identificación de los factores pronósticos a partir de las respuestas a los cuestionarios puede ser inestable, y su fiabilidad y utilidad clínica deben probarse prospectivamente.",
10930797,Niguno,O,"El objetivo del proyecto fue identificar factores clínicos y de calidad de vida (QL) que predicen conjuntamente la supervivencia y la respuesta a la quimioterapia en cáncer de mama avanzado.",
10930797,Niguno,O,"Se estudiaron posibles factores pronósticos en 187 mujeres con datos basales de QL de un ensayo de paclitaxel versus doxorubicina como quimioterapia de primera línea.",
