id_fichero,id_frase,tipo,text
10735891,T1,Claim,"Suramin es un agente novedoso que ha demostrado evidencia preliminar de actividad antitumoral en el cáncer de próstata refractario a hormonas (HRPC).",
10735891,T2,Premise,"Las reducciones medias globales en la ingesta combinada de dolor y analgésicos opioides fueron mayores para suramina más HC (suma de rango P = 0,0001).",
10735891,T3,Premise,"La respuesta al dolor se alcanzó en una proporción mayor de pacientes que recibieron suramina que placebo (43% v 28%; P = 0,001),",
10735891,T4,Premise,"La duración de la respuesta fue más larga para los respondedores de suramina (mediana, 240 v 69 días; P = 0,0027).",
10735891,T5,Premise,"El tiempo hasta la progresión de la enfermedad fue más largo (riesgo relativo = 1,5; intervalo de confianza del 95%, 1,2 a 1,9)",
10735891,T6,Premise,"La proporción de pacientes con una disminución del PSA superior al 50% fue mayor (33% v 16%; p = 0,01) en pacientes que recibieron suramina.",
10735891,T7,Premise,"Ni la calidad de vida ni el estado funcional se redujeron con el tratamiento con suramina,",
10735891,T8,Premise,"La supervivencia global fue similar.",
10735891,T9,Premise,"La mayoría de los acontecimientos adversos fueron de intensidad leve o moderada y se manejaron fácilmente desde el punto de vista médico.",
10735891,T10,Claim,"El tratamiento ambulatorio con suramina más HC es bien tolerado y proporciona un beneficio paliativo moderado y un retraso en la progresión de la enfermedad para los pacientes con RFC sintomática.",
10735891,Niguno,O,"Se diseñó un ensayo clínico prospectivo aleatorizado para evaluar el dolor y la ingesta de analgésicos opioides como sustitutos de la respuesta antitumoral en pacientes con CPHR con dolor analgésico opioides significativo dependiente.",
10735891,Niguno,O,"Un ensayo doble ciego controlado con placebo randomizó a pacientes para recibir un régimen ambulatorio de 78 días de suramina más hidrocortisona (HC, 40 mg/d) o placebo más HC.",
10735891,Niguno,O,"La asignación del tratamiento no se cegó cuando se produjo progresión de la enfermedad o toxicidad limitante de la dosis; a los pacientes con placebo se les permitió pasar a la suramina abierta más HC.",
10735891,Niguno,O,"Además del dolor y la ingesta de analgésicos opioides, se comparó la respuesta del antígeno prostático específico (PSA), el tiempo hasta la progresión de la enfermedad, la calidad de vida, el estado funcional y la supervivencia.",
10811675,T1,Premise,"El tiempo hasta la progresión fue más largo para los pacientes con docetaxel que para los pacientes con mejor cuidado de apoyo (10,6 v 6,7 semanas, respectivamente; p < 0,001), al igual que la mediana de supervivencia (7,0 v 4,6 meses; prueba de rango logarítmico, p =0,047).",
10811675,T2,Premise,"La diferencia fue más significativa para los pacientes con docetaxel 75 mg/m(2), en comparación con los pacientes con mejor cuidado de apoyo correspondientes (7,5 v 4,6 meses; prueba de rango logarítmico, p = 0,010; supervivencia a 1 año, 37% v 11%; prueba de chi(2), p = 0,003).",
10811675,T3,Premise,"Se produjo neutropenia febril en 11 pacientes tratados con docetaxel 100 mg/m(2), tres de los cuales murieron, y en un paciente tratado con docetaxel 75 mg/m(2).",
10811675,T4,Premise,"La toxicidad no hematológica de grado 3 o 4, con excepción de la diarrea, se produjo a una tasa similar tanto en el docetaxel como en los mejores grupos de atención de apoyo.",
10811675,T5,Claim,"El tratamiento con docetaxel se asocia con una prolongación significativa de la supervivencia.",
10811675,T6,Claim,"a una dosis de 75 mg/m(2), los beneficios del tratamiento con docetaxel superan los riesgos.",
10811675,Niguno,O,"Evaluar si el tratamiento con docetaxel uniagente daría lugar a una supervivencia más prolongada que la mejor atención de apoyo en pacientes con cáncer de pulmón de células no pequeñas que habían sido tratados previamente con quimioterapia basada en platino.",
10811675,Niguno,O,"Los puntos finales secundarios incluyeron la evaluación de la respuesta (sólo el brazo de docetaxel), la toxicidad y la calidad de vida.",
10811675,Niguno,O,"Los pacientes con estados de desempeño de 0 a 2 y cáncer de pulmón no microcítico en estadio IIIB/IV con lesiones medibles o evaluables fueron elegibles para el estudio si habían sido sometidos a uno o más regímenes de quimioterapia basados en platino y si tenían parámetros hematológicos y bioquímicos adecuados.",
10811675,Niguno,O,"Fueron excluidos si tenían metástasis cerebrales sintomáticas o si habían sido tratados previamente con paclitaxel.",
10811675,Niguno,O,"Los pacientes fueron estratificados por el estado de rendimiento y la mejor respuesta a la quimioterapia con cisplatino y luego aleatorizados al tratamiento con docetaxel 100 mg/m(2) (49 pacientes) o 75 mg/m(2) (55 pacientes) o al mejor tratamiento de apoyo.",
10811675,Niguno,O,"Se evaluó a los pacientes de ambos brazos cada 3 semanas.",
10811675,Niguno,O,"Ciento cuatro pacientes (103 de los cuales eran elegibles para entrar en el estudio) estaban bien equilibrados para factores pronósticos.",
10811675,Niguno,O,"De 84 pacientes con lesiones medibles, seis (7.",
10811675,Niguno,O,"1%) obtuvo respuestas parciales (tres pacientes a cada nivel de dosis).",
11766999,T1,Claim,"En el contexto de las enfermedades físicas crónicas, como el cáncer de mama, la depresión se asocia con un aumento de la morbilidad, períodos más largos de hospitalización y una mayor discapacidad general.",
11766999,T3,Premise,"Después de 8 semanas de tratamiento, la sintomatología depresiva había mejorado notablemente y en una medida similar en ambos grupos en la escala de evaluación de la depresión de Montgomery Asberg.",
11766999,T4,Premise,"La mejoría global clínica (CGI) y las escalas de evaluación global de pacientes indicaron que los pacientes fueron mínimamente a mucho mejor en la variable de valoración del estudio: un cambio de enfermedad moderada/leve a enfermedad limítrofe en la escala de gravedad de enfermedad de la CGI.",
11766999,T5,Claim,"También se observó una mejora constante de la calidad de vida en ambos grupos.",
11766999,T6,Premise,"No hubo diferencias clínicamente significativas entre los grupos.",
11766999,T7,Premise,"En total, 47 (53,4%) pacientes del grupo de paroxetina y 53 (59,6%) pacientes del grupo de amitriptilina tuvieron experiencias adversas, las más frecuentes de las cuales fueron los efectos secundarios bien reconocidos de los medicamentos antidepresivos o quimioterapia.",
11766999,T8,Premise,"Los efectos anticolinérgicos fueron casi el doble de frecuentes en el grupo de amitriptilina (19,1%) que en el grupo de paroxetina (11,4%).",
11766999,T9,Claim,"la paroxetina es una alternativa adecuada a la amitriptilina para el tratamiento de la depresión en pacientes con cáncer de mama.",
11766999,T2,Claim,"Por lo tanto, es esencial un diagnóstico rápido y un tratamiento eficaz.",
11766999,Niguno,O,"Varios estudios pequeños han establecido la eficacia de los antidepresivos tricíclicos (ATC) en este entorno, y los inhibidores selectivos de la recaptación de serotonina (ISRS) parecen ser una opción terapéutica alternativa debido a su eficacia establecida y mejor perfil de tolerabilidad.",
