id_fichero,id_frase,tipo,text
10561201,T1,MajorClaim,"Una combinación de mitoxantrona más prednisona es preferible a la prednisona sola para reducir el dolor en hombres con cáncer de próstata metastásico, resistente a hormonas.",
10561201,T2,Premise,"A las 6 semanas, ambos grupos mostraron mejoría en varios dominios HQL,",
10561201,T3,Premise,"sólo el funcionamiento físico y el dolor fueron mejores en el grupo de mitoxantrona más prednisona que en el grupo de prednisona sola.",
10561201,T4,Premise,"Después de 6 semanas, los pacientes que tomaron prednisona no mostraron mejoría en las puntuaciones de HQL, mientras que los que tomaron mitoxantrona más prednisona mostraron mejorías significativas en la calidad de vida global (P = 0,009), cuatro dominios funcionales y nueve síntomas (.001 < P < 01),",
10561201,T6,Premise,"la mejora (> 10 unidades en una escala de 0 a 100) duró más tiempo que en el grupo de prednisona sola (.004 < P < 0,05).",
10561201,T7,Premise,"La adición de mitoxantrona a la prednisona después del fracaso de la prednisona sola se asoció con mejoras en el dolor, impacto del dolor, alivio del dolor, insomnio y calidad de vida global (.001 < P <.003).",
10561201,T8,Claim,"El tratamiento con mitoxantrona más prednisona se asoció con una mejoría mayor y más duradera en varios dominios y síntomas del HQL que el tratamiento con prednisona sola.",
10561203,T1,Claim,"En ensayos de terapia endocrina en cáncer de mama avanzado, los pacientes con respuesta (respuesta completa/respuesta parcial [CR/PR]) y los pacientes con enfermedad estable durante al menos 6 meses (SD(6m)) han mostrado una supervivencia similar y, por lo tanto, a menudo se definen como una población con beneficio clínico (pacientes con RC/PR o SD(6m)).",
10561203,T3,Premise,"Los respondedores indicaron un mejor bienestar físico (P =. 004) y estado de ánimo (P =.02) en el mes 3.",
10561203,T4,Premise,"En comparación sólo con pacientes con SD(6m), los respondedores no mostraron diferencias significativas en la CV basal y en el tiempo hasta el fracaso del tratamiento (328.5 v 340 días).",
10561203,T5,Premise,"Durante el tratamiento, los respondedores notificaron un bienestar físico significativamente mejor (meses 3 a 11), estado de ánimo (meses 5 a 11), afrontamiento (meses 5 a 9) y apetito (meses 7 a 11) y menos mareo (mes 9) que los pacientes con SD(6m).",
10561203,T6,Premise,"Los cambios entre los valores basales y los meses 5 y 7, respectivamente, indicaron una mejoría de los respondedores pero patrones heterogéneos en pacientes con SD(6m).",
10561203,T7,Premise,"Aunque los grupos CR/PR y SD(6m) tuvieron tiempos similares al fracaso del tratamiento,",
10561203,T8,Claim,"Los pacientes con RC/PR notificaron una mejor CV, lo que sugiere una respuesta más beneficiosa al tratamiento endocrino de segunda línea.",
10653877,T1,Claim,"El tratamiento con quimioterapia basada en cisplatino proporciona una modesta ventaja de supervivencia sobre la atención de apoyo sola en el cáncer de pulmón avanzado de células no pequeñas (NSCLC).",
10653877,T2,Premise,"Se observó una supervivencia superior con los regímenes combinados de paclitaxel (mediana del tiempo de supervivencia, 9,9 meses; tasa de supervivencia a 1 año, 38,9%) en comparación con etopósido más cisplatino (mediana del tiempo de supervivencia, 7,6 meses; tasa de supervivencia a 1 año, 31,8%; p = 048).",
10653877,T3,Premise,"La comparación de la supervivencia para los dos niveles de dosis de paclitaxel no mostró ninguna diferencia significativa.",
10653877,T4,Premise,"La mediana de la duración de supervivencia para el subgrupo en estadio IIIB fue de 7,9 meses para los pacientes con etopósido más cisplatino frente a 13,1 meses para todos los pacientes con paclitaxel (P = 152).",
10653877,T5,Premise,"Para el subgrupo en estadio IV, la mediana del tiempo de supervivencia de etopósido más cisplatino fue de 7,6 meses en comparación con 8,9 meses para paclitaxel (P = 2,46).",
10653877,T6,Premise,"Con las excepciones del aumento de la granulocitopenia en el régimen de dosis bajas de paclitaxel y aumento de las mialgias, neurotoxicidad y, posiblemente, aumento de los eventos cardíacos relacionados con el tratamiento con dosis altas de paclitaxel, la toxicidad fue similar en los tres brazos.",
10653877,T7,Premise,"La calidad de vida (QOL) disminuyó significativamente durante los 6 meses.",
10653877,T8,Claim,"Las puntuaciones de CV no fueron significativamente diferentes entre los regímenes.",
10653877,T9,Claim,"paclitaxel (135 mg/m(2)) en combinación con cisplatino ha reemplazado a etopósido más cisplatino como régimen de referencia en nuestro ensayo de fase III recientemente completado.",
10675381,T1,MajorClaim,"En estudios no aleatorizados en los que participaron pacientes con diferentes tipos de tumores, incluido el cáncer de pulmón de células no pequeñas (NSCLC), la infusión de ATP pareció inhibir la pérdida de peso y el deterioro de la calidad de vida (QOL) y el estado de rendimiento.",
10675381,T2,Premise,"Los cambios medios de peso por periodo de 4 semanas fueron -1,0 kg (intervalo de confianza del 95% [IC] = -1,5 a -0,5) en el grupo control y 0,2 kg (IC del 95% = -0,2 a +0,6) en el grupo ATP (P = 0,002).",
10675381,T3,Premise,"La concentración sérica de albúmina disminuyó en -1,2 g/l (IC 95% = -2,0 a -0,4) por 4 semanas en el grupo control, pero se mantuvo estable (0,0 g/l; IC 95% = -0,3 a +0,3) en el grupo ATP (P = 0,006).",
10675381,T4,Premise,"La fuerza muscular del flexor del codo disminuyó un -5,5% (IC del 95% = -9,6% a -1,4%) por 4 semanas en el grupo control, pero se mantuvo estable (0,0%; IC del 95% = -1,4% a +1,4%) en el grupo ATP (P = 0,01).",
10675381,T5,Premise,"Se observó un patrón similar para los músculos extensores de rodilla (P = 0,02).",
10675381,T6,Premise,"Los efectos de ATP sobre el peso corporal, la fuerza muscular y la concentración de albúmina fueron especialmente marcados en pacientes caquéticos (P = 0,0002, P = 0,0001 y P = 0,0001, respectivamente, para ATP frente a ningún ATP).",
10675381,T7,Premise,"Los cambios en la puntuación de CV por periodo de 4 semanas en el grupo de ATP mostraron un deterioro global menor que en las puntuaciones de control grupo físico (-0,2% versus -2,4%; P = 0,0002); puntuaciones funcionales (+0,4% versus -5,5%; P =,02); puntuaciones psicológicas (-0,7% versus -2,4%; P = 11,1); puntuación global de CV (+0,1% versus -3,5%; P =,0001).",
10675381,T8,Claim,"ATP tiene efectos beneficiosos sobre el peso, la fuerza muscular y la CV en pacientes con CPNM avanzado.",
10735887,T1,Premise,"Las tasas de respuesta objetiva global (OR) fueron más altas en los pacientes tratados con EXE que en los tratados con MA (15,0% v 12,4%);",
10735887,T2,Premise,"se observó una tendencia similar en pacientes con metástasis viscerales (13,5% vs 10,5%).",
10735887,T3,Premise,"La mediana del tiempo de supervivencia fue significativamente más largo con EXE (mediana no alcanzada) que con MA (123,4 semanas; P = 0,039), al igual que la mediana de la duración del éxito global (OR o enfermedad estable > o = 24 semanas; 60,1 v 49,1 semanas; P = 025), el tiempo hasta la progresión del tumor (20,3 v 16,6 semanas; P = 037), y el tiempo hasta el fracaso del tratamiento (16,3 v 15,7 semanas; P = 0,042).",
10735887,T4,Premise,"En comparación con MA, hubo mejoras similares o mayores en el dolor, TRSS y CV con EXE.",
10735887,T5,Claim,"Ambas drogas fueron bien toleradas.",
10735887,T6,Premise,"Los cambios de peso de grado 3 o 4 fueron más frecuentes con MA (17,1% v 7,6%; P = 0,001).",
10735887,T7,Claim,"EXE prolonga el tiempo de supervivencia, el tiempo hasta la progresión del tumor y el tiempo hasta el fracaso del tratamiento en comparación con MA y ofrece una opción de tratamiento bien tolerada para mujeres postmenopáusicas con cáncer de mama avanzado y progresivo que experimentaron fracaso del tamoxifeno.",
10856098,T1,Premise,"Las tasas de respuesta, CV y mediana de RD, TTP y TTF no fueron significativamente diferentes entre los brazos.",
10856098,T2,Premise,"La mediana de SG fue de 13,8 meses para el brazo 1 frente a 14,4 meses para el brazo 2 (P = 0,4).",
10856098,T3,Premise,"La granulocitopenia de grado 3 o 4 fue equivalente en ambos brazos, pero se observaron más neurotoxicidad de grado 3/4, toxicidad venosa leve y FN en el brazo 1.",
10856098,T4,Claim,"La supervivencia con DOX y VNB no es superior a DOX solo en MBC.",
10880548,T1,MajorClaim,"Los síntomas menopausales (por ejemplo, sofocos, sequedad vaginal e incontinencia urinaria por estrés) son muy comunes en los sobrevivientes de cáncer de mama y no se pueden controlar con la terapia de reemplazo de estrógeno estándar (ERT) en estos pacientes.",
10880548,T2,Premise,"Los pacientes que recibieron la intervención demostraron una mejoría estadísticamente significativa (P = 0,0004) en los síntomas menopáusicos, pero no un cambio significativo en la vitalidad (P = 0,77).",
10880548,T3,Premise,"El funcionamiento sexual mejoró estadísticamente significativamente (P = 0,04) en el grupo de tratamiento en comparación con el grupo de cuidados habituales.",
10880548,T4,Claim,"Un programa de evaluación clínica e intervención para el manejo de síntomas menopáusicos en sobrevivientes de cáncer de mama es factible y aceptable para los pacientes, lo que conduce a la reducción de los síntomas y la mejora en el funcionamiento sexual.",
10880548,T5,Claim,"No se demostró una mejora mensurable en una medida de CV general.",
10880550,T1,Claim,"En ensayos de fase II, paclitaxel ha demostrado tener actividad antitumoral en pacientes con cáncer de pulmón avanzado de células no pequeñas (NSCLC).",
10880550,T3,Premise,"La supervivencia fue estadísticamente significativamente mejor en el brazo de paclitaxel más cuidado de apoyo que en el brazo de cuidado de apoyo solo (p de dos lados = 0,037) (mediana de supervivencia = 6,8 meses frente a 4,8 meses).",
10880550,T4,Premise,"El análisis multivariado de Cox mostró que paclitaxel más los cuidados de apoyo se asociaron estadísticamente significativamente con una mejor supervivencia (dos caras P = 0,048).",
10880550,T5,Premise,"QOL fue similar en ambos brazos de tratamiento,",
10880550,T6,Premise,"excepto la puntuación de actividad funcional de la Lista de verificación de Rotterdam, en la que los datos de CV favorecieron estadísticamente significativamente al grupo de paclitaxel más de soporte (dos caras P = 0,043).",
10880550,T7,Claim,"La adición de paclitaxel a la mejor atención de apoyo mejoró significativamente la supervivencia y el tiempo hasta la progresión de la enfermedad en comparación con la mejor atención de apoyo en pacientes con CPNM avanzado y puede mejorar algunos aspectos de la CV.",
10930797,T1,Premise,"El modelo final multivariado predijo una mala supervivencia con múltiples sitios de enfermedad visceral (P=0,003), IFD </=2 años (P=0,026) y dolor (P=0,003).",
10930797,T2,Premise,"Para la supervivencia, múltiples sitios de enfermedad visceral, dolor, QL global y fatiga fueron factores pronósticos significativos en el análisis univariado.",
10930797,T3,Premise,"Para la respuesta, la edad, la disnea, la fatiga y la CV global fueron factores predictivos significativos en el análisis univariado.",
10930797,T4,Premise,"El último modelo multivariado para respuesta seleccionado DFI (P=0,009), múltiples sitios de enfermedad visceral (P=0,037) y disnea (P=<0,001) utilizando la selección hacia adelante,",
10930797,T5,Premise,"pero la inestabilidad del modelo fue indicada por la inclusión de la fatiga y la función emocional en el modelo final cuando se utilizó la selección retrógrada.",
10930797,T6,Claim,"Las variables QL evaluadas por el paciente parecen ser pronósticas para la supervivencia y la respuesta a la quimioterapia en mujeres con cáncer de mama avanzado.",
10930797,T7,Claim,"Sin embargo, la identificación de los factores pronósticos a partir de las respuestas a los cuestionarios puede ser inestable, y su fiabilidad y utilidad clínica deben probarse prospectivamente.",
10944126,T1,Premise,"Los pacientes asignados a oxaliplatino más LV5FU2 tuvieron una supervivencia significativamente más larga libre de progresión (mediana, 9,0 v 6,2 meses; P = 0,0003) y una mejor tasa de respuesta (50,7% v 22,3%; P = 0,0001) en comparación con el brazo control.",
10944126,T2,Premise,"La mejoría de la supervivencia global no alcanzó significación (mediana, 16,2 v 14,7 meses; p = 12).",
10944126,T3,Premise,"El LV5FU2 más oxaliplatino dio mayor frecuencia de los criterios comunes de toxicidad de grado 3/4 del Instituto Nacional del Cáncer neutropenia (41.7% v 5.3% de los pacientes), diarrea de grado 3/4 (11.9% v 5.3%) y toxicidad neurosensorial de grado 3 (18.2% v 0%), pero esto no dio lugar a un deterioro de la calidad de vida (QoL).",
10944126,T4,Premise,"La supervivencia sin progresión de la enfermedad o deterioro del estado de salud global fue mayor en los pacientes asignados al tratamiento con oxaliplatino (P = 0,004).",
10944126,T5,Claim,"La combinación de LV5FU2-oxaliplatino parece beneficiosa como terapia de primera línea en cáncer colorrectal avanzado, demostrando una supervivencia prolongada libre de progresión con tolerabilidad aceptable y mantenimiento de CV.",
10944130,T1,Premise,"Las respuestas completas o parciales se alcanzaron en el 12% de los pacientes tratados con IFNalpha2a más 13-CRA y en el 6% de los pacientes tratados con IFNalpha2a (P = 0,14).",
10944130,T2,Premise,"La mediana de la duración de la respuesta (combinada completa y parcial) en el grupo tratado con la combinación fue de 33 meses (intervalo, de 9 a 50 meses), frente a 22 meses (intervalo, de 5 a 38 meses) en el segundo grupo (P = 0,03).",
10944130,T3,Premise,"El 19% de los pacientes tratados con IFNalpha2a más 13-CRA fueron libres de progresión a los 24 meses, en comparación con el 10% de los pacientes tratados con IFNalpha2a solo (P = 0,05).",
10944130,T4,Premise,"La mediana del tiempo de supervivencia de todos los pacientes fue de 15 meses, sin diferencia en la supervivencia entre los dos brazos de tratamiento (P = 0,26).",
10944130,T5,Premise,"La CV disminuyó durante las primeras 8 semanas de tratamiento y siguió una recuperación parcial.",
10944130,T6,Premise,"Los puntajes más bajos se asociaron con la terapia de combinación.",
10944130,T7,Claim,"La proporción de respuesta y la supervivencia no mejoraron significativamente con la adición de 13-CRA al tratamiento con IFNalpha2a en pacientes con CCR avanzado.",
10944130,T8,Claim,"13-CRA puede alargar la respuesta al tratamiento con IFNalpha2a en pacientes con tumores sensibles a IFNalpha2a.",
10944130,T9,Claim,"El tratamiento, en particular el tratamiento combinado, se asoció con una disminución de la CV.",
11034245,T1,MajorClaim,"5-fluorouracilo intravenoso (5-FU) y leucovorina han sido un pilar de la quimioterapia,",
11034245,T2,MajorClaim,"Los derivados orales de 5-FU han mostrado una actividad antitumoral comparable.",
11034245,T3,Claim,"Para reducir la recurrencia y mejorar la tasa de supervivencia fue necesario un tratamiento postoperatorio de quimioradiación adyuvante después de la resección curativa del cáncer rectal.",
11034245,T4,Premise,"El número medio de ciclos de quimioterapia fue de 6,5+/-3,7 (brazo IV) frente a 7,2+/-4,3 (brazo oral), respectivamente.",
11034245,T5,Premise,"La tasa de recurrencia fue 9/74 (12,1%) en el brazo IV y 6/92 (6,5%) en el brazo oral, respectivamente (P = 0,937).",
11034245,T6,Premise,"La recurrencia local fue de 2/74 (estadio III; 2,7%) en el brazo IV y de 1/92 (estadio II; 1,1%) en el brazo oral, respectivamente.",
11034245,T7,Premise,"La recurrencia sistémica fue 7/74 (estadio III; 9,4%) en el brazo IV y 5/92 (estadio III; 5,4%) en el brazo oral, respectivamente.",
11034245,T8,Premise,"El sitio más común de recurrencia sistémica fue el hígado.",
11034245,T9,Premise,"El perfil de toxicidad fue el siguiente: la leucopenia (30/74 vs. 17/92) y la alopecia (21/74 vs. 13/92) fueron estadísticamente más frecuentes en el brazo IV.",
11034245,T10,Premise,"La diarrea fue más común en el brazo oral.",
11034245,T11,Premise,"La mala calidad de vida entre dos grupos se observó a 1 mes (23,9% vs 13%) y a 2 meses (15,8% vs. 3,7%) después de la quimioterapia.",
11034245,T12,Premise,"Se observó buena calidad de vida a 1 mes (19,5% vs. 49%) y 2 meses (47% vs. 72%), respectivamente (P< 0,05).",
11034245,T13,Claim,"La doxifluridina oral con leucovorina muestra una eficacia terapéutica comparable al régimen intravenoso de 5-FU con alta calidad de vida como terapia adyuvante postoperatoria.",
11034245,T14,Claim,"El régimen oral también puede administrarse de forma segura con toxicidad y tolerabilidad adecuadas.",
11106123,T1,Premise,"Después de una mediana del tiempo de seguimiento de 62 semanas (rango 18-108), la mediana del tiempo hasta la progresión fue de 38, 25 y 27 semanas para los grupos A, B y C, respectivamente.",
11106123,T2,Premise,"Con 94 pacientes aún vivos, la probabilidad de supervivencia a un año fue del 61%, 54% y 59%, respectivamente.",
11106123,T3,Premise,"La neutropenia y diarrea de grado 3 ó 4 de la OMS afectaron al 46% y al 16%, respectivamente, de los pacientes tratados con CPT-11 + LFA 5-FU.",
11106123,T4,Premise,"La mediana de la intensidad relativa de la dosis a lo largo de ocho ciclos (DI8) fue del 78% para el CPT-11 y del 82% para el 5-FU.",
11106123,T5,Premise,"Las toxicidades graves de TOM + LFA-5-FU fueron neutropenia (16%) y diarrea (16%), pero la mediana relativa de DI8 fue del 93% para TOM y del 82% para 5-FU.",
11106123,T6,Premise,"CPT-11 + LFA-5-FU se compara favorablemente en términos de actividad y toxicidad con otros regímenes de combinación incluyendo CPT-11 y 5-FU de infusión continua.",
11106123,T7,Claim,"La hipótesis de un RR 15% superior al tratamiento MTX + LFA-5-FU no puede descartarse después de este análisis intermedio.",
11106123,T8,Claim,"El régimen TOM + LFA 5-FU mostró un RR y un perfil de toxicidad muy cercano a la combinación MTX + LFA 5-FU, y no merece una evaluación adicional en pacientes con cáncer colorrectal avanzado.",
11142481,T1,Premise,"Se obtuvieron nueve RC y veintisiete PR en ciento once pacientes evaluables tratados en el brazo experimental (RR = 32%, intervalo de confianza del 95% (IC 95%): 24%-42%), mientras que se observaron dos RC y once PR entre ciento tres pacientes evaluables en el brazo control (RR = 13%, IC 95%: 7%-21%).",
11142481,T3,Premise,"La toxicidad de grado 3-4 de la OMS se produjo en el 13% de los ciclos del brazo experimental y en el 8% de los ciclos del brazo de control.",
11142481,T4,Premise,"La SLP fue significativamente más larga en el brazo experimental (6,2 vs 4,3 meses, odds ratio 0,66, P = 0,003),",
11142481,T5,Premise,"la supervivencia global fue similar en ambos brazos (14,8 meses en el brazo experimental frente a 14,1 meses en el brazo control);",
11142481,T6,Claim,"la calidad de vida también era similar.",
11142481,T7,Premise,"El 80% de los pacientes que recibieron quimioterapia de segunda línea en el brazo control fueron tratados con infusión continua 5-FU.",
11142481,T8,Claim,"La modulación bioquímica específica de la FU es más activa que la MTX --> 5-FU como tratamiento de primera línea del cáncer colorrectal avanzado.",
11142481,T9,Claim,"Sin embargo, la supervivencia global fue similar, lo que sugiere que alternar el bolo y el 5-FU de infusión por adelantado puede ser tan eficaz como administrarlos en secuencia como el tratamiento de primera y segunda línea.",
11181777,T1,MajorClaim,"La combinación de etopósido más cisplatino (EP) se considera terapia estándar para el cáncer de pulmón de células pequeñas (SCLC).",
11181777,T2,Premise,"Los pacientes del grupo de PCDE presentaron una frecuencia estadísticamente significativa de respuestas combinadas completas más parciales en comparación con los del grupo de EP (21% más 55% frente a 13% más 48%, respectivamente; P = 0,02 para la diferencia en las respuestas objetivas combinadas).",
11181777,T3,Premise,"Los pacientes del grupo de PCDE sobrevivieron más que los del grupo de EP (tasa de supervivencia a 1 año: 40% y 29%, respectivamente; mediana de supervivencia: 10,5 y 9,3 meses, respectivamente; rango logarítmico P = 0,0067).",
11181777,T4,Premise,"En el modelo de Cox, el riesgo relativo de muerte para los pacientes del grupo de PCDE en comparación con los del grupo de EP fue de 0,70 (intervalo de confianza del 95% = 0,51 a 0,95);",
11181777,T5,Premise,"la enfermedad también progresó más lentamente en los pacientes del brazo de la PCDE.",
11181777,T6,Premise,"La toxicidad hematológica fue mayor en el brazo del PCDE (22% con infecciones documentadas en comparación con 8% en el brazo del EP; P = 0,038),",
11181777,T7,Premise,"la tasa de mortalidad relacionada con la toxicidad fue del 9% en el brazo de PCDE frente al 5,5% en el brazo de EP (P = 0,22).",
11181777,T8,Claim,"El estado de salud mundial mostró una mejora similar en ambos brazos durante el tratamiento.",
11181777,T9,Claim,"En comparación con el régimen EP, el régimen PCDE produjo tasas de respuesta más altas y mejores tasas de supervivencia en pacientes con CPCP extenso sin afectar la calidad de vida de los pacientes durante la quimioterapia.",
11250991,T1,Premise,"La SLP a 2 años proyectada es del 90,4% en tres ciclos y del 89,4% en cuatro ciclos.",
11250991,T2,Premise,"La diferencia en la SLP entre tres y cuatro ciclos es de -1,0% (80% límite de confianza [CL], -3,8%, +1,8%).",
11250991,T3,Claim,"Se afirma la equivalencia para tres ciclos frente a cuatro ciclos porque los límites superior e inferior del 80% de CL son inferiores al 5%.",
11250991,T4,Premise,"En la comparación de 5 frente a 3 días, la SLP a 2 años proyectada es de 88,8% y 89,7%, respectivamente (diferencia, -0,9%, (80% CL, -4,1%, +2,2%).",
11250991,T5,Claim,"En esta comparación también se afirma la equivalencia.",
11250991,T6,Premise,"Las frecuencias de toxicidades hematológicas y no hematológicas fueron esencialmente similares.",
11250991,T7,Premise,"La calidad de vida se mantuvo mejor en los pacientes que recibieron tres ciclos;",
11250991,T8,Premise,"No se detectaron diferencias entre 3 y 5 días de tratamiento.",
11250991,T9,Claim,"tres ciclos de BEP, con etopósido a 500 mg/m(2), es suficiente tratamiento para el cáncer de células germinales de buen pronóstico",
11250991,T10,Claim,"la administración de la quimioterapia en 3 días no tiene ningún efecto perjudicial sobre la eficacia del régimen de BEP.",
11304763,T1,Premise,"Las tasas de respuesta completa y parcial a la EP de inducción fueron del 3% y el 32%, respectivamente.",
11304763,T2,Premise,"Se observó una tasa de respuesta del 7% con topotecan (respuesta completa, 2%; respuesta parcial, 5%).",
11304763,T3,Premise,"La mediana del tiempo de supervivencia de los 402 pacientes elegibles fue de 9,6 meses.",
11304763,T4,Premise,"La supervivencia libre de progresión (SLP) desde la fecha de aleatorización en el paso 2 fue significativamente mejor con topotecan en comparación con la observación (3,6 meses v 2,3 meses; p < 0,001).",
11304763,T5,Premise,"La supervivencia global a partir de la fecha de aleatorización en el paso 2 no fue significativamente diferente entre los brazos de observación y topotecan (8,9 meses v 9,3 meses; P = 4,43).",
